# Use the Source file to translate labels for the first time.
# - Change the language code in the header from the organization's default language to the translation language. See "Supported Languages for Translatable Customizations" in the Salesforce.com online help for a list of supported languages and their associated language codes.
# - Replace the untranslated values in the LABEL column with translated values.

# Notes:
# Don't add columns to or remove columns from this file.
# Tabs (\t), new lines (\n) and carriage returns (\r) are represented by special characters in this file. These characters should be preserved in the import file to maintain formatting.
# Lines that begin with the # symbol are ignored during import.
# Salesforce translation files are exported in the UTF-8 encoding to support extended and double-byte characters. This encoding cannot be changed.

# Language: English
Language code: en_US
Type: Source

# KEY	LABEL

ApexSharingReason.Medical_Event_vod__c.Event_Team_Member_vod	Event Team Member
ApexSharingReason.Medical_Event_vod__c.Share_Meeting_with_Mgr_ReadOnly_BMS_EMEA	Share_Meeting_with_Manager_ReadOnly
ApexSharingReason.Survey_vod__c.VEEVA_ADVANCED_SHARE_vod	VEEVA_ADVANCED_SHARE_vod
ApexSharingReason.Master_File_BMS_EMEA__c.Share_MF_with_Approver_ReadOnly_BMS_EMEA	Share_Master_File_with_Approver_ReadOnly
ApexSharingReason.EM_Attendee_vod__c.Event_Team_Member_vod	Event Team Member
ApexSharingReason.EM_Budget_vod__c.Approver_HCPTS	Approver
ApexSharingReason.EM_Budget_vod__c.Certifier_HCPTS	Certifier
ApexSharingReason.EM_Budget_vod__c.Need_Owner_HCPTS	Budget Owner
ApexSharingReason.EM_Budget_vod__c.Processor_HCPTS	Processor
ApexSharingReason.EM_Budget_vod__c.Reviewer_HCPTS	Reviewer
ApexSharingReason.EM_Event_Budget_vod__c.Event_Team_Member_vod	Event Team Member
ApexSharingReason.EM_Event_History_vod__c.Event_Team_Member_vod	Event Team Member
ApexSharingReason.EM_Event_Session_vod__c.Event_Team_Member_vod	Event Team Member
ApexSharingReason.EM_Event_Speaker_vod__c.Event_Team_Member_vod	Event Team Member
ApexSharingReason.EM_Event_vod__c.Event_Team_Member_vod	Event Team Member
ApexSharingReason.EM_Expense_Estimate_vod__c.Event_Team_Member_vod	Event Team Member
ApexSharingReason.Expense_Header_vod__c.Event_Team_Member_vod	Event Team Member
ButtonOrLink.HTML_Report_vod__c.Publish_To_CDN_vod	Publish
ButtonOrLink.Medical_Insight_vod__c.Submit_vod	Submit
ButtonOrLink.Assortment_vod__c.Assortment_Preview_vod	Preview
ButtonOrLink.APXTConga4__Conga_Email_Template__c.APXTConga4__Advanced_Editor	Advanced Editor
ButtonOrLink.APXTConga4__Conga_Merge_Query__c.APXTConga4__Conga_Query_Builder	Conga Query Builder
ButtonOrLink.APXTConga4__Conga_Solution__c.APXTConga4__Add_Conga_Email_Template	Add Conga Email Template
ButtonOrLink.APXTConga4__Conga_Solution__c.APXTConga4__Add_Parameters	Add Parameters
ButtonOrLink.APXTConga4__Conga_Solution__c.APXTConga4__Add_Queries	Add Queries
ButtonOrLink.APXTConga4__Conga_Solution__c.APXTConga4__Add_Reports	Add Reports
ButtonOrLink.APXTConga4__Conga_Solution__c.APXTConga4__Add_Templates	Add Templates
ButtonOrLink.APXTConga4__Conga_Solution__c.APXTConga4__Button_Adder	Button Adder
ButtonOrLink.APXTConga4__Conga_Solution__c.APXTConga4__CM_Launch_Button	CM Launch Button
ButtonOrLink.APXTConga4__Conga_Solution__c.APXTConga4__Sample_Record_Selector	Sample Record Selector
ButtonOrLink.echosign_dev1__SIGN_Agreement__c.echosign_dev1__Cancel_Agreement_Bulk	Cancel Agreement
ButtonOrLink.echosign_dev1__SIGN_Agreement__c.echosign_dev1__Delete_Agreement	Delete
ButtonOrLink.echosign_dev1__SIGN_Agreement__c.echosign_dev1__Delete_Agreement_Bulk	Delete Agreement
ButtonOrLink.echosign_dev1__SIGN_Agreement__c.echosign_dev1__RefreshStatus	Refresh Status
ButtonOrLink.echosign_dev1__SIGN_Agreement__c.echosign_dev1__SendReminder	SendReminder
ButtonOrLink.echosign_dev1__SIGN_Agreement__c.echosign_dev1__Send_Agreement_Bulk	Send Agreement
ButtonOrLink.echosign_dev1__SIGN_Agreement__c.echosign_dev1__Send_Reminder_Bulk	Send Reminder
ButtonOrLink.echosign_dev1__SIGN_Agreement__c.echosign_dev1__SendforSignature	Send for Signature
ButtonOrLink.echosign_dev1__SIGN_Agreement__c.echosign_dev1__SetAgreementPassword	SetAgreementPassword
ButtonOrLink.echosign_dev1__SIGN_Agreement__c.echosign_dev1__Update_Agreement_Bulk	Update Agreement
ButtonOrLink.Information_Collection_Form__c.Create_Contract_Party_HCPTS	Process Contract Party
ButtonOrLink.Information_Collection_Form__c.Generate_ICF_Template	Generate ICF
ButtonOrLink.Information_Collection_Form__c.Send_ICF_via_Echosign_HCTPS	Send ICF via Echosign
ButtonOrLink.Information_Collection_Form__c.Unlock_ICF_HCPTS	Unlock ICF
ButtonOrLink.VEM__Package__c.VEM__VEM_Swap_Status	Swap Status
ButtonOrLink.VEM__Setup_Data_Objects__c.VEM__Add_A_Lookup	Add A Lookup
ButtonOrLink.Action_BMS__c.Record_an_Interaction_BMS	Record an Interaction
ButtonOrLink.Trial_Scope_Report_BMS__c.Submit_BMS	Submit & Send Email
ButtonOrLink.Trial_Scope_Report_BMS__c.Unlock_BMS	Unlock
ButtonOrLink.Error_Log_BMS__c.Re_Submit_to_BMS_CM	Re-Submit to BMS CM
ButtonOrLink.Error_Log_BMS__c.Re_Submit_to_BMS_CM_CORE	Re-Submit to BMS CM_CORE
ButtonOrLink.Business_Event_Target_vod__c.Inactivate_vod	Inactivate
ButtonOrLink.Call_Objective_vod__c.Assign_Call_Objective_To_Tactic	Assign Call Objective To Tactic
ButtonOrLink.Medical_Inquiry_vod__c.Clone_vod	Clone
ButtonOrLink.Medical_Inquiry_vod__c.New_Medical_Inquiry_BMS	New Medical Inquiry
ButtonOrLink.Medical_Inquiry_vod__c.Print_Receipt	Print Receipt
ButtonOrLink.Medical_Inquiry_vod__c.Record_a_Call_vod	Record a Call
ButtonOrLink.Medical_Inquiry_vod__c.Save_vod	Save / Enregistrer
ButtonOrLink.Medical_Inquiry_vod__c.Send_Email_vod	Send Email
ButtonOrLink.Medical_Inquiry_vod__c.Submit_vod	Submit / Envoyer
ButtonOrLink.Medical_Inquiry_vod__c.View_Signatures	View Signatures / Afficher les signatures
ButtonOrLink.Product_Plan_vod__c.Update_Metrics	Update Metrics
ButtonOrLink.Account_Plan_vod__c.Apply_Product_Plan	Apply Product Plan
ButtonOrLink.Account_Plan_vod__c.Apply_Product_Plan2_vod	Apply Product Plan
ButtonOrLink.Account_Plan_vod__c.Record_Activity	Record Activity
ButtonOrLink.Account_Plan_vod__c.View_Hierarchy_vod	View Hierarchy
ButtonOrLink.Call2_vod__c.Assign_vod	Assign
ButtonOrLink.Call2_vod__c.New_Trial_Scope_Report_BMS	New Trial Scope Report
ButtonOrLink.Call2_vod__c.Print_Sample_Receipt_vod	Print Sample Receipt
ButtonOrLink.Call2_vod__c.View_Signatures_vod	View Signatures
ButtonOrLink.Call2_Sample_vod__c.Cancel_Send_vod	Cancel Send
ButtonOrLink.Account_Tactic_vod__c.Record_Call_vod	Record Call
ButtonOrLink.Address_vod__c.Edit_Address_DCR_vod	Edit
ButtonOrLink.Address_vod__c.New_Address_DCR_vod	New
ButtonOrLink.Message_vod__c.Clear_Cache	Clear Cache
