UTF-8
BUKRS,KOSTL,KTEXT,PurchasingUnit
"0105","1000029","Superfund Expense",""
"0111","1000098","ITO Construction Pro",""
"0105","1000100","QC SAMPLING",""
"0115","1000113","MARGE FAÇONNIERS",""
"0115","1000179","Other adjustments",""
"0115","1000490","FRAIS HAUTREILLE",""
"0115","1000637","EXPENSES REL RECALL",""
"0115","1000639","DPI",""
"0122","1000741","Amostra Para Analise",""
"0122","1000744","Overhead Mat Importa",""
"0122","1000745","CQ Materi Importados",""
"0115","1000774","TRANSFER SITE AGEN",""
"0115","1000775","START UP MP / AC",""
"0115","1000800","Refurbishing Costs",""
"0115","1000802","LITIG.FRS NON INDEM",""
"0105","1000825","Restruc/Demolition",""
"0020","1000849","RAR Spend-HR",""
"0020","1000851","RAR-Leg Comp CQEHS",""
"0001","1000852","RAR Spend-Legal Com",""
"0020","1000853","RAR Spend-Fin NJ",""
"0098","1000858","Registrierungsgeb",""
"0105","1000863","API Misc COGS",""
"0115","1000874","START UP CAR",""
"0115","1000875","PTI",""
"0121","1000983","SA Global Medical De",""
"0089","1001027","R&D sample-Vir Pha",""
"0089","1001031","R&D-MED Affairs Chin",""
"0042","1001073","Pharm G&A IME",""
"0150","1001106","Quality Assurance",""
"0045","1001137","OTHER MEDICAL EXPENS",""
"0045","1001138","REGULATORY EXPENSES",""
"0062","1001203","Anagni New project",""
"0089","1001357","GRS",""
"0045","1001411","Technical Operations",""
"0042","1001555","RCO-Freight",""
"0089","1001582","MEDICAL SERVICES ASI",""
"0001","1001586","Product Liability",""
"0082","1001590","COGS Misc. Slovenja",""
"0050","1001591","Regulatory",""
"0082","1001593","COGS Misc. Baltics",""
"0082","1001594","COGS Misc. Bulgaria",""
"0082","1001595","COGS Misc. Slovakia",""
"0551","1001602","EH&S-CA",""
"0671","1001613","Local R&D Other",""
"0083","1001615","RESEARCH & DEVELOPME",""
"0671","1001618","G&A-GRANTS",""
"0083","1001619","Global Regulatory Sc",""
"0671","1001620","R&D-PRI",""
"0083","1001624","R&D-CLINICAL OPERA",""
"0056","1001628","R&D REGULATORY AFFAI",""
"0080","1001633","PRI-GCR Oncology",""
"0042","1001639","Pharm Reg Affairs",""
"0042","1001648","Pharm R&D QC/QA",""
"0042","1001649","Pharm G&A Donation",""
"0401","1001653","R&G-Regulatory",""
"0401","1001654","R & D",""
"0401","1001656","R&D-PRI",""
"0406","1001657","GRS",""
"0406","1001658","R&D-GHEOR",""
"0538","1001659","Virology Med Affairs",""
"0538","1001660","Oncology Med Affairs",""
"0538","1001665","GRS-MEA",""
"0538","1001666","GQRC-India",""
"0538","1001671","BIOPHARM & ANALY R&D",""
"0538","1001672","IN VIVO-BIO R&D",""
"0406","1001675","China Executive",""
"0670","1001679","R&D-OTHER (PRODUCT",""
"0670","1001680","R & D (CLINICAL OPER",""
"0042","1001687","Asia Pac Med Serv",""
"0042","1001688","RCO (PRI) Bus Ops",""
"0042","1001690","Australia Pharmaco",""
"0042","1001692","R&D RCO Trials",""
"0089","1001693","GRS-China SASS",""
"0115","1001696","CONSULTING PROJECTS",""
"0115","1001697","IM TO PROJECTS",""
"0406","1001714","GRS",""
"0538","1001745","CV & Met Medical aff",""
"0205","1001766","ADMINISTRACION DE PL",""
"0205","1001769","GRANTS",""
"0048","1001779","ASUNTOS REGUL.LOCAL",""
"0048","1001784","EDUCACION MEDICA ORE",""
"0217","1001793","CONTABILIDAD DE COST",""
"0038","1001808","Reg.Supply Chain-Reg",""
"0038","1001815","Grants",""
"0038","1001820","GRS-Argentina",""
"0670","1001825","G&A Grant",""
"0083","1001826","G&A Grant",""
"0080","1001830","Medical",""
"0080","1001841","R&D-Regulatory Affai",""
"0042","1001850","JPAC R&D Med Info",""
"0056","1001853","G&A Contribution & D",""
"0671","1001856","GRS-Thailand",""
"0042","1001871","QGM-Asia Pac",""
"0080","1001872","China Expat",""
"0082","1001878","COGS Misc. Distr. RO",""
"0042","1001879","QC QA Samples",""
"0538","1001880","Grants and Fellowshi",""
"0231","1001885","GMA MSM",""
"0089","1001886","KA Grants",""
"0042","1001887","Medical Operations",""
