UTF-8
WBS Element,Short Description,Parent ID,Parent Description,Company Code,Currency,Start Date,End Date,Available Budget,Total Budget
"W50448-00001","000420-Promotion Transfers Avapro/Sanofi","W50448-00001","000420-Promotion Transfers Avapro/Sanofi","0448","USD","","",2002833.59,8711014.00
"W50448-A0724","000420-Avapro 2002 Accruals Closeout","W50448-A0724","000420-Avapro 2002 Accruals Closeout","0448","USD","","",622724.52,0.00
"W50468-21480","PromoTrade Megace Lithuania","W50468-21480","PromoTrade Megace Lithuania","0468","USD","","",219581.31,219581.31
"W50468-36235","PromoTrade Fervex Latvia","W50468-36235","PromoTrade Fervex Latvia","0468","USD","","",46794.85,46794.85
"W50020-60117","000692-Sustiva Miscellaneous","W50020-60117","000692-Sustiva Miscellaneous","0020","USD","","",0.36,1165355.00
"W50020-60312","000687-Other Agency","W50020-60312","000687-Other Agency","0020","USD","","",0.37,1071814.00
"W50020-60341","000627-PI Update","W50020-60341","000627-PI Update","0020","USD","","",1.00,10875.00
"W50020-60332","000627-Internet Site","W50020-60332","000627-Internet Site","0020","USD","","",1.00,279888.00
"W50448-60414","000420-PRMP","W50448-60414","000420-PRMP","0448","USD","","",1.60,852408.00
"W50448-60415","000421-PRMP","W50448-60415","000421-PRMP","0448","USD","","",1.00,888543.00
"W50264-60488","000264-POA Expenses","W50264-60488","000264-POA Expenses","0264","USD","","",1.55,3341740.00
"W50448-60644","000421-Production","W50448-60644","000421-Production","0448","USD","","",1.02,2680767.00
"W50076-31702","Portfolio Support","W50076-31702","Portfolio Support","0076","USD","","",500985.78,500985.78
"W50264-90284","000264-Warehouse and Distribution","W50264-90284","000264-Warehouse and Distribution","0264","USD","","",1.06,1246763.00
"W50448-90402","000420-Direct Fulfillment","W50448-90402","000420-Direct Fulfillment","0448","USD","","",0.80,269094.00
"W50526-150002","2015 Reyataz International congresses","1900000000000002272520","A&P","0526","PLN","01/01/2015","12/31/2015",102336.94,682000.00
"W50526-150013","2015Daclatasvir International congresses","1900000000000002274320","A&P","0526","PLN","01/01/2015","12/31/2015",66764.81,297500.00
"V40526-150003","2015 SPRYCEL Medical Advisory Boards PL","1900000000000002270620","Medical Publications & Other Medical Aff","0526","PLN","01/01/2015","12/31/2015",1134.13,83500.00
"V40526-150005","2015 YERVOY Medical Education PL","1900000000000002271120","Medical Publications & Other Medical Aff","0526","PLN","01/01/2015","12/31/2015",2323.42,366500.00
"V40526-150010","2015 NIVOLUMAB Medical Advisory Board PL","1900000000000002271320","Medical Publications & Other Medical Aff","0526","PLN","01/01/2015","12/31/2015",12688.35,449700.00
"V40526-150011","2015 REATAZ Medical Education PL","1900000000000002271520","Medical Publications & Other Medical Aff","0526","PLN","01/01/2015","12/31/2015",22986.47,190000.00
"W50412-150013","Educational lectures for oncologists in","1900000000000002211620","A&P","0412","ILS","01/01/2015","12/31/2015",111995.82,257475.00
"W50020-150277","Sprycel CRM","1900000000000002416320","A&P","0020","USD","01/01/2015","12/31/2015",16264.72,1989744.00
"W50526-150007","2015 Baraclude International congresses","1900000000000002271620","A&P","0526","PLN","01/01/2015","12/31/2015",98536.50,1101000.00
"W50526-150031","2015 Sprycel international congresses","1900000000000002257220","A&P","0526","PLN","01/01/2015","12/31/2015",46135.11,1486007.47
"V40034-150092","2014 Ad-board payments","1900000000000002257620","Medical Publications & Other Medical Aff","0034","GBP","01/01/2015","12/31/2015",241.92,357474.23
"W50044-150194","1392_Innovative Projekte","1900000000000002252620","A&P","0044","EUR","01/01/2015","12/31/2015",81248.37,3264854.93
"W50052-150091","MELANOM: Utformning av A&P material","1900000000000002353320","A&P","0052","SEK","01/01/2015","12/31/2015",46007.92,2566252.50
"W50581-150082","Campagnes : agences","1900000000000002344920","A&P","0581","EUR","01/01/2015","12/31/2015",204871.65,1260000.00
"V40098-150019","Eliquis Risk Management Plan","1900000000000002187720","Medical Publications & Other Medical Aff","0098","EUR","01/01/2015","12/31/2015",60.66,19000.00
"W50044-160002","1506 Vorläufige POs für VA in 2016","1900000000000002589220","A&P","0044","EUR","01/01/2016","12/31/2016",7835.12,224205.12
"W50581-160001","FR1940 - JESFC 2016","1900000000000002592920","A&P","0581","EUR","01/01/2016","12/31/2016",601442.26,2305000.00
"WR0089-150085","Quotation for HTN Dashboard Analysis","1900000000000002444720","Market Research Studies","0089","CNY","01/01/2015","12/31/2015",46107.55,650000.00
"V40035-150131","Risk Management Tools","1900000000000002515720","Medical Publications & Other Medical Aff","0035","CAD","01/20/2015","12/31/2015",19718.53,340262.23
"WF0581-160001","Colloque Saint-Joseph","1900000000000002605120","Other Marketing","0581","EUR","01/01/2016","12/31/2016",60000.00,60000.00
"WF0581-160002","Colloque du Touquet","1900000000000002605120","Other Marketing","0581","EUR","01/01/2016","12/31/2016",60000.00,60000.00
"WF0581-160003","Colloque Saint-Joseph","1900000000000002604420","Other Marketing","0581","EUR","01/01/2016","12/31/2016",100080.35,430000.00
"WF0581-160004","Colloque du Touquet","1900000000000002604420","Other Marketing","0581","EUR","01/01/2016","12/31/2016",100080.35,430000.00
"W50581-160002","JESFC FOT 2016","1900000000000002605920","A&P","0581","EUR","01/01/2016","12/31/2016",39383.66,65000.00
"V40062-150054","Elotuz ECM meetings","1900000000000002203020","Medical Publications & Other Medical Aff","0062","EUR","01/01/2015","12/31/2015",18307.00,302500.00
"W50581-160003","CROI","1900000000000002652320","A&P","0581","EUR","01/01/2016","12/31/2016",438292.37,918000.00
"V40044-160001","EXPERIENCIA Berlin 2016","1900000000000002653420","Medical Publications & Other Medical Aff","0044","EUR","01/01/2016","12/31/2016",53291.26,222000.00
"V40044-160002","Standalone Frühe RA","1900000000000002653420","Medical Publications & Other Medical Aff","0044","EUR","01/01/2016","12/31/2016",53291.26,222000.00
"WF0581-160005","Opdivo - Mel - OM - RRE - Campus Cancero","1900000000000002657720","Other Marketing","0581","EUR","01/01/2016","12/31/2016",11618.58,100000.00
"V40044-160003","Hepatologie Update West","1900000000000002659220","Medical Publications & Other Medical Aff","0044","EUR","01/01/2016","12/31/2016",6228.86,80000.00
"W50044-160005","1940 Eliquis Arztsoftware 2016","1900000000000002713520","A&P","0044","EUR","01/01/2016","12/31/2016",633676.67,5346399.97
"W50044-160006","1940 Eliquis AC Akademien 2016","1900000000000002713520","A&P","0044","EUR","01/01/2016","12/31/2016",633676.67,5346399.97
"W50044-160009","1940 Eliquis Tutorenprojekt 2016","1900000000000002713520","A&P","0044","EUR","01/01/2016","12/31/2016",633676.67,5346399.97
"W50044-160008","1940 Eliquis 3rd Party VA 2016","1900000000000002713520","A&P","0044","EUR","01/01/2016","12/31/2016",633676.67,5346399.97
"W50044-160010","1940 Eliquis Congress Sponsoring 2016","1900000000000002713520","A&P","0044","EUR","01/01/2016","12/31/2016",633676.67,5346399.97
"W50044-160011","Pre-Approved RiD","1900000000000002751520","A&P","0044","EUR","01/01/2016","12/31/2016",9261.55,174900.00
"W50044-160012","1940 Leadershipmeeting BMS/Pfizer 2016","1900000000000002775420","A&P","0044","EUR","01/01/2016","12/31/2016",1362139.14,3312000.00
"W50044-160013","1940 Business-Team-Meetings 2016 Pre","1900000000000002775420","A&P","0044","EUR","01/01/2016","12/31/2016",1362139.14,3312000.00
"W50044-160014","1940 Regionaltagungen/Trainings 2016 Pre","1900000000000002775420","A&P","0044","EUR","01/01/2016","12/31/2016",1362139.14,3312000.00
"W50044-160015","1940 Field Trainer CV 2015 2016 Pre","1900000000000002775420","A&P","0044","EUR","01/01/2016","12/31/2016",1362139.14,3312000.00
"W50044-160016","1940 Sales conference 2016","1900000000000002775420","A&P","0044","EUR","01/01/2016","12/31/2016",1362139.14,3312000.00
"W50044-160017","1940 Round Table/Regionale VA 2016 Pre","1900000000000002775420","A&P","0044","EUR","01/01/2016","12/31/2016",1362139.14,3312000.00
"W50044-160018","1940 Sponsoring 2016 Pre","1900000000000002775420","A&P","0044","EUR","01/01/2016","12/31/2016",1362139.14,3312000.00
"W50044-160019","1940 Transsekt.VA Praxis/Klinik 2016 Pre","1900000000000002775420","A&P","0044","EUR","01/01/2016","12/31/2016",1362139.14,3312000.00
"W50550-160001","Opdivo 2016 Promo Programs (Vendor)","1900000000000002762620","A&P","0550","USD","01/01/2016","12/31/2016",6323452.25,11670500.00
"W50550-160002","Yervoy 2016 Promo Programs (Vendor)","1900000000000002762720","A&P","0550","USD","01/01/2016","12/31/2016",1216169.00,2029500.00
"W50020-160001","2016 Elotuzumab Promo Programs (Vendor)","1900000000000002805520","A&P","0020","USD","01/01/2016","12/31/2016",1787486.55,5011000.00
"WF0581-160006","OM-RRE-Mel- SYMPO MONACO","1900000000000002657720","Other Marketing","0581","EUR","01/01/2016","12/31/2016",11618.58,100000.00
"W50020-160002","Orencia 2016 Promo Programs (Vendor)","1900000000000002811320","A&P","0020","USD","01/01/2016","12/31/2016",840329.25,3000000.00
"W50581-160004","Opdivo-LH-A&P-HL Promo Materials","1900000000000002657420","A&P","0581","EUR","01/01/2016","12/31/2016",1268245.47,2289500.00
"W50581-160005","Opdivo LH-A&P - Printing&Production","1900000000000002657420","A&P","0581","EUR","01/01/2016","12/31/2016",1268245.47,2289500.00
"W50581-160006","Opdivo LH- A&P- SF Training Materials","1900000000000002657420","A&P","0581","EUR","01/01/2016","12/31/2016",1268245.47,2289500.00
"WF0581-160007","Opdivo LH- OM- ASH Opdivo Lymphome","1900000000000002657720","Other Marketing","0581","EUR","01/01/2016","12/31/2016",11618.58,100000.00
"WF0581-160008","Opdivo LH- OM- Heme Platform","1900000000000002657720","Other Marketing","0581","EUR","01/01/2016","12/31/2016",11618.58,100000.00
"WF0581-160009","Opdivo LH- OM- TLs Consulting","1900000000000002657720","Other Marketing","0581","EUR","01/01/2016","12/31/2016",11618.58,100000.00
"WR0581-160001","Opdivo LH- MR- Patients Journey","1900000000000002657620","Market Research","0581","EUR","01/01/2016","12/31/2016",113635.00,531500.00
"WR0581-160002","Opdivo LH- MR- Patients Tracking","1900000000000002657620","Market Research","0581","EUR","01/01/2016","12/31/2016",113635.00,531500.00
"WF0581-160010","Opdivo LH- OM- HematoSem","1900000000000002918220","Other Marketing","0581","EUR","01/01/2016","12/31/2016",61758.08,670000.00
"WF0581-160011","Opdivo LH- OM- HEM Regional Programme","1900000000000002918220","Other Marketing","0581","EUR","01/01/2016","12/31/2016",61758.08,670000.00
"WF0581-160012","Sprycel- OM- Consulting","1900000000000002916420","Other Marketing","0581","EUR","01/01/2016","12/31/2016",41304.62,60000.00
"WF0581-160013","Sprycel- OM- Programme LMC 360","1900000000000002916420","Other Marketing","0581","EUR","01/01/2016","12/31/2016",41304.62,60000.00
"WF0581-160015","Sprycel- OM- EHA","1900000000000002916420","Other Marketing","0581","EUR","01/01/2016","12/31/2016",41304.62,60000.00
"WF0581-160016","Sprycel- OM- ESH(LMC)","1900000000000002916420","Other Marketing","0581","EUR","01/01/2016","12/31/2016",41304.62,60000.00
"WF0581-160017","Sprycel- OM- ASH","1900000000000002916420","Other Marketing","0581","EUR","01/01/2016","12/31/2016",41304.62,60000.00
