ID,OWNERID,ISDELETED,NAME,BMS_CODE_BMS_EMEA__C,CCV_CODE_BMS_EMEA__C,COUNTRY_BMS_EMEA__C,DESCRIPTION_BMS_EMEA__C,LANGUAGE_BMS_EMEA__C,SHORT_LABEL_BMS_EMEA__C,SPECIALTY_TYPE_BMS_EMEA__C,EXTERNAL_ID_BMS_EMEA__C
a3Td0000000CXBAEA4,005d0000002bfc8AAA,FALSE,Anaesthetics (GB),SP.WUK.04,,GB,Anaesthetics,English - United Kingdom,Anaesthetics,,GB__EN-GB__SP.WUK.04
a3Td0000000CXBBEA4,005d0000002bfc8AAA,FALSE,Homeopathy (GB),SP.WUK.05,,GB,Homeopathy,English - United Kingdom,Homeopathy,,GB__EN-GB__SP.WUK.05
a3Td0000000CXBDEA4,005d0000002bfc8AAA,FALSE,Gastroenterology (GB),SP.WUK.06,,GB,Gastroenterology,English - United Kingdom,Gastroenterology,,GB__EN-GB__SP.WUK.06
a3Td0000000CXBGEA4,005d0000002bfc8AAA,FALSE,Biochemistry (GB),SP.WUK.07,,GB,Biochemistry,English - United Kingdom,Biochemistry,,GB__EN-GB__SP.WUK.07
a3Td0000000CXBHEA4,005d0000002bfc8AAA,FALSE,Cardiology (GB),SP.WUK.08,,GB,Cardiology,English - United Kingdom,Cardiology,,GB__EN-GB__SP.WUK.08
a3Td0000000CXBKEA4,005d0000002bfc8AAA,FALSE,HIV (GB),SP.WUK.0B,,GB,HIV,English - United Kingdom,HIV,,GB__EN-GB__SP.WUK.0B
a3Td0000000CXBMEA4,005d0000002bfc8AAA,FALSE,Vascular Surgery (GB),SP.WUK.10,,GB,Vascular Surgery,English - United Kingdom,Vascular Surgery,,GB__EN-GB__SP.WUK.10
a3Td0000000CXBOEA4,005d0000002bfc8AAA,FALSE,General Surgery (GB),SP.WUK.11,,GB,General Surgery,English - United Kingdom,General Surgery,,GB__EN-GB__SP.WUK.11
a3Td0000000CXBQEA4,005d0000002bfc8AAA,FALSE,Paediatric Surgery (GB),SP.WUK.13,,GB,Paediatric Surgery,English - United Kingdom,Paediatric Surgery,,GB__EN-GB__SP.WUK.13
a3Td0000000CXBREA4,005d0000002bfc8AAA,FALSE,Cardiothoracic Surgery (GB),SP.WUK.14,,GB,Cardiothoracic Surgery,English - United Kingdom,Cardiothoracic Surgery,,GB__EN-GB__SP.WUK.14
a3Td0000000CXBTEA4,005d0000002bfc8AAA,FALSE,Plastic Surgery & Burns (GB),SP.WUK.15,,GB,Plastic Surgery & Burns,English - United Kingdom,Plastic Surgery & Burns,,GB__EN-GB__SP.WUK.15
