"ID","OWNERID","ISDELETED","NAME","BMS_CODE_BMS_EMEA__C","CCV_CODE_BMS_EMEA__C","COUNTRY_BMS_EMEA__C","DESCRIPTION_BMS_EMEA__C","LANGUAGE_BMS_EMEA__C","SHORT_LABEL_BMS_EMEA__C","SPECIALTY_TYPE_BMS_EMEA__C","EXTERNAL_ID_BMS_EMEA__C","STATUS"
"a3T3E0000004OaUUAU","005d0000002bfc8AAA","FALSE","Anaesthetics (GB)","SP.WUK.04","","GB","Anaesthetics","English - United Kingdom","Anaesthetics","","GB__EN-GB__SP.WUK.04","Item Created"
"a3T3E0000004OaVUAU","005d0000002bfc8AAA","FALSE","Homeopathy (GB)","SP.WUK.05","","GB","Homeopathy","English - United Kingdom","Homeopathy","","GB__EN-GB__SP.WUK.05","Item Created"
"a3T3E0000004OaWUAU","005d0000002bfc8AAA","FALSE","Gastroenterology (GB)","SP.WUK.06","","GB","Gastroenterology","English - United Kingdom","Gastroenterology","","GB__EN-GB__SP.WUK.06","Item Created"
"a3T3E0000004OaXUAU","005d0000002bfc8AAA","FALSE","Biochemistry (GB)","SP.WUK.07","","GB","Biochemistry","English - United Kingdom","Biochemistry","","GB__EN-GB__SP.WUK.07","Item Created"
"a3T3E0000004OaYUAU","005d0000002bfc8AAA","FALSE","Cardiology (GB)","SP.WUK.08","","GB","Cardiology","English - United Kingdom","Cardiology","","GB__EN-GB__SP.WUK.08","Item Created"
"a3T3E0000004OaZUAU","005d0000002bfc8AAA","FALSE","HIV (GB)","SP.WUK.0B","","GB","HIV","English - United Kingdom","HIV","","GB__EN-GB__SP.WUK.0B","Item Created"
"a3T3E0000004OaaUAE","005d0000002bfc8AAA","FALSE","Vascular Surgery (GB)","SP.WUK.10","","GB","Vascular Surgery","English - United Kingdom","Vascular Surgery","","GB__EN-GB__SP.WUK.10","Item Created"
"a3T3E0000004OabUAE","005d0000002bfc8AAA","FALSE","General Surgery (GB)","SP.WUK.11","","GB","General Surgery","English - United Kingdom","General Surgery","","GB__EN-GB__SP.WUK.11","Item Created"
"a3T3E0000004OacUAE","005d0000002bfc8AAA","FALSE","Paediatric Surgery (GB)","SP.WUK.13","","GB","Paediatric Surgery","English - United Kingdom","Paediatric Surgery","","GB__EN-GB__SP.WUK.13","Item Created"
"a3T3E0000004OadUAE","005d0000002bfc8AAA","FALSE","Cardiothoracic Surgery (GB)","SP.WUK.14","","GB","Cardiothoracic Surgery","English - United Kingdom","Cardiothoracic Surgery","","GB__EN-GB__SP.WUK.14","Item Created"
"a3T3E0000004OaeUAE","005d0000002bfc8AAA","FALSE","Plastic Surgery & Burns (GB)","SP.WUK.15","","GB","Plastic Surgery & Burns","English - United Kingdom","Plastic Surgery & Burns","","GB__EN-GB__SP.WUK.15","Item Created"
"a3T3E0000004OafUAE","005d0000002bfc8AAA","FALSE","Dermatology (GB)","SP.WUK.16","","GB","Dermatology","English - United Kingdom","Dermatology","","GB__EN-GB__SP.WUK.16","Item Created"
"a3T3E0000004OagUAE","005d0000002bfc8AAA","FALSE","Psychology (GB)","SP.WUK.1B","","GB","Psychology","English - United Kingdom","Psychology","","GB__EN-GB__SP.WUK.1B","Item Created"
"a3T3E0000004OahUAE","005d0000002bfc8AAA","FALSE","Hospital Laboratory (GB)","SP.WUK.1D","","GB","Hospital Laboratory","English - United Kingdom","Hospital Laboratory","","GB__EN-GB__SP.WUK.1D","Item Created"
"a3T3E0000004OaiUAE","005d0000002bfc8AAA","FALSE","Physiology (GB)","SP.WUK.1N","","GB","Physiology","English - United Kingdom","Physiology","","GB__EN-GB__SP.WUK.1N","Item Created"
"a3T3E0000004OajUAE","005d0000002bfc8AAA","FALSE","Epilepsy (GB)","SP.WUK.1Z","","GB","Epilepsy","English - United Kingdom","Epilepsy","","GB__EN-GB__SP.WUK.1Z","Item Created"
"a3T3E0000004OakUAE","005d0000002bfc8AAA","FALSE","Pharmacy (GB)","SP.WUK.20","","GB","Pharmacy","English - United Kingdom","Pharmacy","","GB__EN-GB__SP.WUK.20","Item Created"
"a3T3E0000004OalUAE","005d0000002bfc8AAA","FALSE","Care of the Elderly (GB)","SP.WUK.21","","GB","Care of the Elderly","English - United Kingdom","Care of the Elderly","","GB__EN-GB__SP.WUK.21","Item Created"
"a3T3E0000004OamUAE","005d0000002bfc8AAA","FALSE","Haematology (GB)","SP.WUK.22","","GB","Haematology","English - United Kingdom","Haematology","","GB__EN-GB__SP.WUK.22","Item Created"
"a3T3E0000004OanUAE","005d0000002bfc8AAA","FALSE","Allergy (GB)","SP.WUK.24","","GB","Allergy","English - United Kingdom","Allergy","","GB__EN-GB__SP.WUK.24","Item Created"
"a3T3E0000004OaoUAE","005d0000002bfc8AAA","FALSE","Sports Medicine (GB)","SP.WUK.26","","GB","Sports Medicine","English - United Kingdom","Sports Medicine","","GB__EN-GB__SP.WUK.26","Item Created"
"a3T3E0000004OapUAE","005d0000002bfc8AAA","FALSE","Venereology (GB)","SP.WUK.28","","GB","Venereology","English - United Kingdom","Venereology","","GB__EN-GB__SP.WUK.28","Item Created"
"a3T3E0000004OaqUAE","005d0000002bfc8AAA","FALSE","Pain Control (GB)","SP.WUK.2A","","GB","Pain Control","English - United Kingdom","Pain Control","","GB__EN-GB__SP.WUK.2A","Item Created"
"a3T3E0000004OarUAE","005d0000002bfc8AAA","FALSE","Colorectal Surgery (GB)","SP.WUK.2Z","","GB","Colorectal Surgery","English - United Kingdom","Colorectal Surgery","","GB__EN-GB__SP.WUK.2Z","Item Created"
"a3T3E0000004OasUAE","005d0000002bfc8AAA","FALSE","Nuclear Medicine (GB)","SP.WUK.31","","GB","Nuclear Medicine","English - United Kingdom","Nuclear Medicine","","GB__EN-GB__SP.WUK.31","Item Created"
"a3T3E0000004OatUAE","005d0000002bfc8AAA","FALSE","Occupational Health (GB)","SP.WUK.33","","GB","Occupational Health","English - United Kingdom","Occupational Health","","GB__EN-GB__SP.WUK.33","Item Created"
"a3T3E0000004OauUAE","005d0000002bfc8AAA","FALSE","Microbiology (GB)","SP.WUK.34","","GB","Microbiology","English - United Kingdom","Microbiology","","GB__EN-GB__SP.WUK.34","Item Created"
"a3T3E0000004OavUAE","005d0000002bfc8AAA","FALSE","Renal Medicine (GB)","SP.WUK.35","","GB","Renal Medicine","English - United Kingdom","Renal Medicine","","GB__EN-GB__SP.WUK.35","Item Created"
"a3T3E0000004OawUAE","005d0000002bfc8AAA","FALSE","Respiratory Medicine (GB)","SP.WUK.36","","GB","Respiratory Medicine","English - United Kingdom","Respiratory Medicine","","GB__EN-GB__SP.WUK.36","Item Created"
"a3T3E0000004OaxUAE","005d0000002bfc8AAA","FALSE","Neurosurgery (GB)","SP.WUK.37","","GB","Neurosurgery","English - United Kingdom","Neurosurgery","","GB__EN-GB__SP.WUK.37","Item Created"
"a3T3E0000004OayUAE","005d0000002bfc8AAA","FALSE","Neurology (GB)","SP.WUK.39","","GB","Neurology","English - United Kingdom","Neurology","","GB__EN-GB__SP.WUK.39","Item Created"
"a3T3E0000004OazUAE","005d0000002bfc8AAA","FALSE","Neurophysiology (GB)","SP.WUK.3A","","GB","Neurophysiology","English - United Kingdom","Neurophysiology","","GB__EN-GB__SP.WUK.3A","Item Created"
"a3T3E0000004Ob0UAE","005d0000002bfc8AAA","FALSE","Hepatology (GB)","SP.WUK.3B","","GB","Hepatology","English - United Kingdom","Hepatology","","GB__EN-GB__SP.WUK.3B","Item Created"
"a3T3E0000004Ob1UAE","005d0000002bfc8AAA","FALSE","Wholesaler (GB)","SP.WUK.3E","","GB","Wholesaler","English - United Kingdom","Wholesaler","","GB__EN-GB__SP.WUK.3E","Item Created"
"a3T3E0000004Ob2UAE","005d0000002bfc8AAA","FALSE","Podiatry (GB)","SP.WUK.3K","","GB","Podiatry","English - United Kingdom","Podiatry","","GB__EN-GB__SP.WUK.3K","Item Created"
"a3T3E0000004Ob3UAE","005d0000002bfc8AAA","FALSE","Lipidology (GB)","SP.WUK.3P","","GB","Lipidology","English - United Kingdom","Lipidology","","GB__EN-GB__SP.WUK.3P","Item Created"
"a3T3E0000004Ob4UAE","005d0000002bfc8AAA","FALSE","Medical Devices (GB)","SP.WUK.3Y","","GB","Medical Devices","English - United Kingdom","Medical Devices","","GB__EN-GB__SP.WUK.3Y","Item Created"
"a3T3E0000004Ob5UAE","005d0000002bfc8AAA","FALSE","Obstetrics & Gynaecology (GB)","SP.WUK.40","","GB","Obstetrics & Gynaecology","English - United Kingdom","Obstetrics & Gynaecology","","GB__EN-GB__SP.WUK.40","Item Created"
