"ID","RECORDTYPEID","COUNTRY_OVERRIDE_VOD__C","EVENT_CONFIGURATION_VOD__C","EVENT_LAYOUT_VOD__C","EVENT_STATUS_VOD__C","EVENT_TEAM_ROLE_VOD__C","EXPENSE_ESTIMATE_LAYOUT_VOD__C","EXPENSE_HEADER_LAYOUT_VOD__C","EXPENSE_LINE_LAYOUT_VOD__C","EXTERNAL_ID__C","USER_PROFILE_VOD__C","VISIBLE_BUTTONS_VOD__C","EVENT_OBJECT_NAME_VOD__C","PAGE_LAYOUT_VOD__C","RECORD_TYPE_VOD__C","STATUS"
"a4d5E0000008dH2QAI","01258000000QJVOAA4","","a4b5E000000025T","","Post-Event","Read Only","","","","EPL -00000019992","","","Expense_Line_vod","BMS Simple Expense Line Readonly Layout","","Item Created"
"a4d5E0000008dH7QAI","01258000000QJVOAA4","","a4b5E000000025T","","Pre-Event","Read Only","","","","EPL -00000002778","","","EM_Event_Team_Member_vod","Simple Activity Team Member Layout","Activity_Team_Member_Simple_HCPTS","Item Created"
"a4d5E0000008dHCQAY","01258000000QJVOAA4","","a4b5E000000025T","","Post-Event","Read Only","","","","EPL -00000002779","","","EM_Event_Team_Member_vod","Simple Activity Team Member Layout","Activity_Team_Member_Simple_HCPTS","Item Created"
"a4d5E0000008dHHQAY","012d0000000XPG9AAO","","a4b5E000000025T","BMS_Simple_Read_Only","Pre-Event","Approver_vod","","","","EPL -0000033249","","","","","","Item Created"
"a4d5E0000008dHMQAY","01258000000QJVOAA4","","a4b5E000000025T","","Post-Event-PostApproval","Read Only","","","","376","","","EM_Attendee_vod","BMS_HCPTS_Simple_Attendee_Layout","Simple_Attendee_HCPTS","Item Created"
"a4d5E0000008dHRQAY","01258000000QJVOAA4","","a4b5E000000025T","","","","","","","","","Delete;Edit","EM_Event_Material_vod","Simple Material","Simple_Material_HCPTS","Item Created"
"a4d5E0000008dHWQAY","01258000000QJVOAA4","","a4b5E000000025T","","Post-Event-PostApproval","Read Only","","","","EPL -0002212362","","","Expense_Header_vod","BMS Simple Expense Header ReadOnly Layout","","Item Created"
"a4d5E0000008dHbQAI","01258000000QJVOAA4","","a4b5E000000025T","","Closed_vod","","","","","EPL -00000008892","","","Expense_Line_vod","BMS Simple Expense Line Readonly Layout","","Item Created"
"a4d5E0000008dHgQAI","01258000000QJVOAA4","","a4b5E000000025T","","Post-Event","Read Only","","","","EPL -00000002967","","","EM_Event_Budget_vod","Simple WBSCC Budget Layout","WBS_CC_Simple_HCPTS","Item Created"
"a4d5E0000008dHhQAI","01258000000QJVOAA4","","a4b5E000000025T","","Post-Event-PostApproval","","","","","EPL -0000121362","","","EM_Expense_Estimate_vod","BMS Expense Estimate Simple Read Only","","Item Created"
"a4d5E0000008dHlQAI","01258000000QJVOAA4","","a4b5E000000025T","","Pre-Event","Read Only","","","","EPL -00000008891","","","Expense_Header_vod","BMS Simple Expense Header ReadOnly Layout","","Item Created"
"a4d5E0000008dHXQAY","01258000000QJVOAA4","","a4b5E000000025T","","Post-Event-PostApproval","","","","","EPL -0000011362","","","EM_Event_Budget_vod","Simple WBSCC Budget Layout","WBS_CC_Simple_HCPTS","Item Created"
"a4d5E0000008dHqQAI","012d0000000XPG9AAO","","a4b5E000000025T","BMS_Simple_Read_Only","Approved_vod","Read Only","","","","EPL -0000001304","","","","","","Item Created"
