ID,SOURCEPARENTID,PARENTID,SOBJECTTYPE,FIELD,PERMISSIONSEDIT,PERMISSIONSREAD
01k3E000008mm1oQAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Company_Code_Details_HCPTS__c,Company_Code_Details_HCPTS__c.Active_HCPTS__c,TRUE,TRUE
01k3E000008mm1uQAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Company_Code_Details_HCPTS__c,Company_Code_Details_HCPTS__c.Currency_HCPTS__c,TRUE,TRUE
01k3E000008mm1qQAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Company_Code_Details_HCPTS__c,Company_Code_Details_HCPTS__c.End_Date_HCPTS__c,TRUE,TRUE
01k3E000008mm1rQAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Company_Code_Details_HCPTS__c,Company_Code_Details_HCPTS__c.External_ID_HCPTS__c,TRUE,TRUE
01k3E000008mm1nQAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Company_Code_Details_HCPTS__c,Company_Code_Details_HCPTS__c.Name_of_Company_HCPTS__c,TRUE,TRUE
01k3E000008mm1tQAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Company_Code_Details_HCPTS__c,Company_Code_Details_HCPTS__c.Plant_Code_HCPTS__c,TRUE,TRUE
01k3E000008mm1sQAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Company_Code_Details_HCPTS__c,Company_Code_Details_HCPTS__c.Purchase_Org_HCPTS__c,TRUE,TRUE
01k3E000008mm1pQAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Company_Code_Details_HCPTS__c,Company_Code_Details_HCPTS__c.Start_Date_HCPTS__c,TRUE,TRUE
01k3E000008mm3jQAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Contract_Party_Company_Code__c,Contract_Party_Company_Code__c.Deletion_Flag_HCPTS__c,TRUE,TRUE
01k3E000008mm3iQAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Contract_Party_Company_Code__c,Contract_Party_Company_Code__c.Posting_Block_HCPTS__c,TRUE,TRUE
01k3E000008mm3hQAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Contract_Party_Company_Code__c,Contract_Party_Company_Code__c.SAP_Vendor_ID_HCPTS__c,FALSE,TRUE
01k3E000008mm3oQAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Contract_Party_Purchase_Org_HCPTS__c,Contract_Party_Purchase_Org_HCPTS__c.Deletion_Flag_HCPTS__c,TRUE,TRUE
01k3E000008mm3kQAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Contract_Party_Purchase_Org_HCPTS__c,Contract_Party_Purchase_Org_HCPTS__c.Purchase_Org_Details1_HCPTS__c,TRUE,TRUE
01k3E000008mm3lQAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Contract_Party_Purchase_Org_HCPTS__c,Contract_Party_Purchase_Org_HCPTS__c.Purchase_Org_Details_HCPTS__c,TRUE,TRUE
01k3E000008mm3nQAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Contract_Party_Purchase_Org_HCPTS__c,Contract_Party_Purchase_Org_HCPTS__c.Purchasing_Block_HCPTS__c,TRUE,TRUE
01k3E000008mm3mQAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Contract_Party_Purchase_Org_HCPTS__c,Contract_Party_Purchase_Org_HCPTS__c.SAP_Vendor_ID_HCPTS__c,FALSE,TRUE
01k3E000008mm22QAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Cost_Center_Details_HCPTS__c,Cost_Center_Details_HCPTS__c.Active_HCPTS__c,TRUE,TRUE
01k3E000008mm26QAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Cost_Center_Details_HCPTS__c,Cost_Center_Details_HCPTS__c.Company_Code_HCPTS__c,TRUE,TRUE
01k3E000008mm27QAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Cost_Center_Details_HCPTS__c,Cost_Center_Details_HCPTS__c.Company_Code_Purchase_Org_Country__c,FALSE,TRUE
01k3E000008mm28QAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Cost_Center_Details_HCPTS__c,Cost_Center_Details_HCPTS__c.Cost_Center_Name_HCPTS__c,TRUE,TRUE
01k3E000008mm24QAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Cost_Center_Details_HCPTS__c,Cost_Center_Details_HCPTS__c.End_Date_HCPTS__c,TRUE,TRUE
01k3E000008mm25QAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Cost_Center_Details_HCPTS__c,Cost_Center_Details_HCPTS__c.External_ID_HCPTS__c,TRUE,TRUE
01k3E000008mm23QAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Cost_Center_Details_HCPTS__c,Cost_Center_Details_HCPTS__c.Start_Date_HCPTS__c,TRUE,TRUE
01k3E000008mm3wQAA,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,PII_Data_HCPTS__c,PII_Data_HCPTS__c.Account_Number_HCPTS__c,TRUE,TRUE
