ID,SOURCEPARENTID,PARENTID,SOBJECTTYPE,PERMISSIONSCREATE,PERMISSIONSREAD,PERMISSIONSEDIT,PERMISSIONSDELETE,PERMISSIONSVIEWALLRECORDS,PermissionsModifyAllRecords
1103E000000IPyeQAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Company_Code_Details_HCPTS__c,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1103E000000IPzIQAW,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Contract_Party_Company_Code__c,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1103E000000IPzNQAW,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Contract_Party_Purchase_Org_HCPTS__c,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1103E000000IPyfQAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Cost_Center_Details_HCPTS__c,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1103E000000IPzSQAW,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,PII_Data_HCPTS__c,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1103E000000IPytQAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Plant_Code_Details_HCPTS__c,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1103E000000IPyjQAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Purchase_Org_Details_HCPTS__c,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1103E000000IPzDQAW,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,SAP_Expense_Line_HCPTS__c,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1103E000000IPyoQAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,WBS_Details_HCPTS__c,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1103E000000IPxwQAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Preferences_vod__c,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1103E000000IPzcQAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Medical_Event_vod__c,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
1103E000000IPzhQAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Data_Map_Template_vod__c,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1103E000000IUmPQAW,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Rule_Definition_vod__c,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1103E000000IUmOQAW,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Rule_Object_Header_vod__c,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1103E000000IPzrQAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Multichannel_Message_vod__c,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1103E000000IPx7QAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Country_vod__c,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1103E000000IPxCQAW,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,EM_Attendee_vod__c,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1103E000000IPxHQAW,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,EM_Budget_vod__c,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1103E000000IPyyQAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,EM_Catalog_vod__c,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1103E000000IPx8QAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,EM_Event_Action_vod__c,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1103E000000IPxMQAW,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,EM_Event_Budget_vod__c,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1103E000000IPxRQAW,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,EM_Event_Configuration_Country_vod__c,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1103E000000IPxWQAW,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,EM_Event_Configuration_vod__c,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1103E000000IPxbQAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,EM_Event_History_vod__c,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1103E000000IPxgQAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,EM_Event_Layout_vod__c,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1103E000000IPz3QAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,EM_Event_Rule_vod__c,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1103E000000IPxIQAW,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,EM_Event_Session_Attendee_vod__c,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1103E000000IPxlQAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,EM_Event_Session_vod__c,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1103E000000IPxqQAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,EM_Event_Speaker_vod__c,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1103E000000IUoeQAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,EM_Event_Team_Member_vod__c,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1103E000000IPxvQAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,EM_Event_vod__c,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
1103E000000IPy0QAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,EM_Expense_Estimate_vod__c,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1103E000000IPz8QAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,EM_Speaker_Qualification_vod__c,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1103E000000IPxXQAW,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,EM_Speaker_vod__c,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1103E000000IPy5QAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,EM_Vendor_vod__c,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1103E000000IPyAQAW,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,EM_Venue_vod__c,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1103E000000IPyFQAW,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Expense_Header_vod__c,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1103E000000IPyKQAW,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Expense_Line_vod__c,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1103E000000IPyPQAW,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Expense_Type_vod__c,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1103E000000IPyUQAW,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Metadata_Definition_vod__c,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1103E000000IPyZQAW,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Metadata_Translation_vod__c,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1103E000000IPzXQAW,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,EM_Event_Material_vod__c,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1103E000000IPykQAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,EM_Topic_Material_vod__c,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1103E000000IPzmQAG,0PS3E0000000FeyWAE,0PS5E000000Cm8SWAS,Contact,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
