ID,SPARENTID,PARENTID,SOBJECTTYPE,PERMISSIONSCREATE,PERMISSIONSREAD,PERMISSIONSEDIT,PERMISSIONSDELETE,PERMISSIONSVIEWALLRECORDS,PERMISSIONSMODIFYALLRECORDS
1103E000000IUmJQAW,0PS3E0000000FluWAE,0PS5E000000Cm8R,Cost_Center_Details_HCPTS__c,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1103E000000ISOyQAO,0PS3E0000000FluWAE,0PS5E000000Cm8R,Need_Expense_Estimate_HCPTS__c,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1103E000000ISNRQA4,0PS3E0000000FluWAE,0PS5E000000Cm8R,PII_Data_HCPTS__c,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1103E000000IUmEQAW,0PS3E0000000FluWAE,0PS5E000000Cm8R,WBS_Details_HCPTS__c,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1103E000000ISNWQA4,0PS3E0000000FluWAE,0PS5E000000Cm8R,Medical_Event_vod__c,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1103E000000ISNbQAO,0PS3E0000000FluWAE,0PS5E000000Cm8R,Title_BMS_EMEA__c,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1103E000000ISNgQAO,0PS3E0000000FluWAE,0PS5E000000Cm8R,EM_Attendee_vod__c,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1103E000000ISNXQA4,0PS3E0000000FluWAE,0PS5E000000Cm8R,EM_Catalog_vod__c,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1103E000000ISP3QAO,0PS3E0000000FluWAE,0PS5E000000Cm8R,EM_Event_Action_vod__c,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1103E000000ISNqQAO,0PS3E0000000FluWAE,0PS5E000000Cm8R,EM_Event_Budget_vod__c,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1103E000000ISNvQAO,0PS3E0000000FluWAE,0PS5E000000Cm8R,EM_Event_Configuration_Country_vod__c,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1103E000000ISO0QAO,0PS3E0000000FluWAE,0PS5E000000Cm8R,EM_Event_Configuration_vod__c,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1103E000000ISO5QAO,0PS3E0000000FluWAE,0PS5E000000Cm8R,EM_Event_Layout_vod__c,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1103E000000ISP8QAO,0PS3E0000000FluWAE,0PS5E000000Cm8R,EM_Event_Rule_vod__c,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1103E000000ISMZQA4,0PS3E0000000FluWAE,0PS5E000000Cm8R,EM_Event_Speaker_vod__c,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1103E000000ISOAQA4,0PS3E0000000FluWAE,0PS5E000000Cm8R,EM_Event_vod__c,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1103E000000ISOFQA4,0PS3E0000000FluWAE,0PS5E000000Cm8R,EM_Expense_Estimate_vod__c,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1103E000000ISOKQA4,0PS3E0000000FluWAE,0PS5E000000Cm8R,EM_Speaker_Qualification_vod__c,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1103E000000ISOPQA4,0PS3E0000000FluWAE,0PS5E000000Cm8R,EM_Speaker_vod__c,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1103E000000IUl1QAG,0PS3E0000000FluWAE,0PS5E000000Cm8R,EM_Vendor_vod__c,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1103E000000ISPNQA4,0PS3E0000000FluWAE,0PS5E000000Cm8R,EM_Venue_vod__c,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1103E000000ISOUQA4,0PS3E0000000FluWAE,0PS5E000000Cm8R,Expense_Header_vod__c,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1103E000000ISOZQA4,0PS3E0000000FluWAE,0PS5E000000Cm8R,Expense_Line_vod__c,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
1103E000000ISOeQAO,0PS3E0000000FluWAE,0PS5E000000Cm8R,Metadata_Definition_vod__c,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1103E000000ISOjQAO,0PS3E0000000FluWAE,0PS5E000000Cm8R,Metadata_Translation_vod__c,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1103E000000ISNrQAO,0PS3E0000000FluWAE,0PS5E000000Cm8R,EM_Event_Material_vod__c,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
1103E000000ISOoQAO,0PS3E0000000FluWAE,0PS5E000000Cm8R,EM_Topic_Material_vod__c,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
1103E000000ISOtQAO,0PS3E0000000FluWAE,0PS5E000000Cm8R,Contact,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
