"ID","SOURCEPARENTID","PARENTID","SOBJECTTYPE","FIELD","PERMISSIONSEDIT","PERMISSIONSREAD","ERROR"
"01k3E00000Ao8nWQAR","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Attendee_vod__c","EM_Attendee_vod__c.Audience_Type_Simple_Formula_HCPTS__c","FALSE","TRUE","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"01k3E00000Ao8nUQAR","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Attendee_vod__c","EM_Attendee_vod__c.Ariba_SOW_Number_HCPTS__c","TRUE","TRUE","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"01k3E00000Ao8nyQAB","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Attendee_vod__c","EM_Attendee_vod__c.Audience_Type_HCPTS__c","TRUE","TRUE","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"01k3E00000Ao8oAQAR","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Attendee_vod__c","EM_Attendee_vod__c.Registration_Status_HCPTS__c","FALSE","TRUE","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"01k3E00000AKSqnQAH","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Budget_vod__c","EM_Budget_vod__c.Cybergrant_ID_HCPTS__c","TRUE","TRUE","Field Name: bad value for restricted picklist field: EM_Budget_vod__c.Cybergrant_ID_HCPTS__c"
"01k3E000009erKWQAY","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Event_Budget_vod__c","EM_Event_Budget_vod__c.Budget_vod__c","TRUE","TRUE","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"01k3E000009k1dlQAA","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Event_History_vod__c","EM_Event_History_vod__c.Starting_Status_Simple_HCPTS__c","TRUE","TRUE","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"01k3E000009k1dYQAQ","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Event_History_vod__c","EM_Event_History_vod__c.Ending_Status_Simple_HCPTS__c","TRUE","TRUE","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"01k3E000009yRT9QAM","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Event_Speaker_vod__c","EM_Event_Speaker_vod__c.Ariba_SOW_Number_HCPTS__c","TRUE","TRUE","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"01k3E000009yRTvQAM","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Event_Speaker_vod__c","EM_Event_Speaker_vod__c.Provider_Type_Simple_HCPTS__c","FALSE","TRUE","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
