"ID","SOURCEPARENTID","PARENTID","SOBJECTTYPE","PERMISSIONSCREATE","PERMISSIONSREAD","PERMISSIONSEDIT","PERMISSIONSDELETE","PERMISSIONSVIEWALLRECORDS","PERMISSIONSMODIFYALLRECORDS","STATUS"
"1105E000000CTdzQAG","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Company_Code_Details_HCPTS__c","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","Item Created"
"1105E000000CTe0QAG","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Cost_Center_Details_HCPTS__c","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","Item Created"
"1105E000000CTe4QAG","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","PII_Data_HCPTS__c","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","Item Created"
"1105E000000CTe9QAG","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Plant_Code_Details_HCPTS__c","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","Item Created"
"1105E000000CTeEQAW","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Purchase_Org_Details_HCPTS__c","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","Item Created"
"1105E000000CTeJQAW","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","WBS_Details_HCPTS__c","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","Item Created"
"1105E000000CTeOQAW","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Preferences_vod__c","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","Item Created"
"1105E000000CTeTQAW","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Medical_Event_vod__c","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","Item Created"
"1105E000000CTeYQAW","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Data_Map_Template_vod__c","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","Item Created"
"1105E000000CTeKQAW","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Rule_Object_Header_vod__c","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","Item Created"
"1105E000000CTedQAG","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Multichannel_Message_vod__c","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","Item Created"
"1105E000000CTeZQAW","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Country_vod__c","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","Item Created"
"1105E000000CTeiQAG","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Attendee_vod__c","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","Item Created"
"1105E000000CTenQAG","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Budget_vod__c","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","Item Created"
"1105E000000CTesQAG","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Catalog_vod__c","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","Item Created"
"1105E000000CTexQAG","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Event_Action_vod__c","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","Item Created"
"1105E000000CTeFQAW","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Event_Budget_vod__c","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","Item Created"
"1105E000000CTejQAG","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Event_Configuration_Country_vod__c","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","Item Created"
"1105E000000CTf2QAG","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Event_Configuration_vod__c","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","Item Created"
"1105E000000CTf7QAG","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Event_History_vod__c","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","Item Created"
"1105E000000CTfCQAW","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Event_Layout_vod__c","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","Item Created"
"1105E000000CTfHQAW","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Event_Rule_vod__c","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","Item Created"
"1105E000000CTfMQAW","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Event_Session_Attendee_vod__c","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","Item Created"
"1105E000000CTfRQAW","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Event_Session_vod__c","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","Item Created"
"1105E000000CTf3QAG","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Event_Speaker_vod__c","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","Item Created"
"1105E000000CTfWQAW","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Event_vod__c","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","Item Created"
"1105E000000CTfbQAG","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Expense_Estimate_vod__c","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","Item Created"
"1105E000000CTfgQAG","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Speaker_Qualification_vod__c","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","Item Created"
"1105E000000CTflQAG","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Speaker_vod__c","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","Item Created"
"1105E000000CTfqQAG","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Vendor_vod__c","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","Item Created"
"1105E000000CTfvQAG","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Venue_vod__c","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","Item Created"
"1105E000000CTg0QAG","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Expense_Header_vod__c","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","Item Created"
"1105E000000CTg5QAG","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Expense_Line_vod__c","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","Item Created"
"1105E000000CTgAQAW","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Expense_Type_vod__c","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","Item Created"
"1105E000000CTfIQAW","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Metadata_Definition_vod__c","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","Item Created"
"1105E000000CTgFQAW","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Metadata_Translation_vod__c","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","Item Created"
"1105E000000CTg6QAG","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Event_Material_vod__c","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","Item Created"
"1105E000000CTgKQAW","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","EM_Topic_Material_vod__c","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","Item Created"
"1105E000000CTgPQAW","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Contact","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","Item Created"
