"ID","SOURCEPARENTID","PARENTID","SOBJECTTYPE","FIELD","PERMISSIONSEDIT","PERMISSIONSREAD","STATUS"
"01k5E000008PVMQQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Company_Code_Details_HCPTS__c","Company_Code_Details_HCPTS__c.Active_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVMVQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Company_Code_Details_HCPTS__c","Company_Code_Details_HCPTS__c.Currency_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVMaQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Company_Code_Details_HCPTS__c","Company_Code_Details_HCPTS__c.End_Date_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVMfQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Company_Code_Details_HCPTS__c","Company_Code_Details_HCPTS__c.External_ID_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVMkQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Company_Code_Details_HCPTS__c","Company_Code_Details_HCPTS__c.Name_of_Company_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVMpQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Company_Code_Details_HCPTS__c","Company_Code_Details_HCPTS__c.Plant_Code_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVMqQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Company_Code_Details_HCPTS__c","Company_Code_Details_HCPTS__c.Purchase_Org_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVMlQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Company_Code_Details_HCPTS__c","Company_Code_Details_HCPTS__c.Start_Date_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVMbQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Contract_Party_Company_Code__c","Contract_Party_Company_Code__c.Deletion_Flag_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVMuQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Contract_Party_Company_Code__c","Contract_Party_Company_Code__c.Posting_Block_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVMzQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Contract_Party_Company_Code__c","Contract_Party_Company_Code__c.SAP_Vendor_ID_HCPTS__c","FALSE","TRUE","Item Created"
"01k5E000008PVN4QAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Contract_Party_Purchase_Org_HCPTS__c","Contract_Party_Purchase_Org_HCPTS__c.Deletion_Flag_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVN9QAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Contract_Party_Purchase_Org_HCPTS__c","Contract_Party_Purchase_Org_HCPTS__c.Purchase_Org_Details1_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVNEQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Contract_Party_Purchase_Org_HCPTS__c","Contract_Party_Purchase_Org_HCPTS__c.Purchase_Org_Details_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVNJQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Contract_Party_Purchase_Org_HCPTS__c","Contract_Party_Purchase_Org_HCPTS__c.Purchasing_Block_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVNOQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Contract_Party_Purchase_Org_HCPTS__c","Contract_Party_Purchase_Org_HCPTS__c.SAP_Vendor_ID_HCPTS__c","FALSE","TRUE","Item Created"
"01k5E000008PVNTQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Cost_Center_Details_HCPTS__c","Cost_Center_Details_HCPTS__c.Active_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVNYQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Cost_Center_Details_HCPTS__c","Cost_Center_Details_HCPTS__c.Company_Code_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVNdQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Cost_Center_Details_HCPTS__c","Cost_Center_Details_HCPTS__c.Company_Code_Purchase_Org_Country__c","FALSE","TRUE","Item Created"
"01k5E000008PVNZQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Cost_Center_Details_HCPTS__c","Cost_Center_Details_HCPTS__c.Cost_Center_Name_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVNiQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Cost_Center_Details_HCPTS__c","Cost_Center_Details_HCPTS__c.End_Date_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVMgQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Cost_Center_Details_HCPTS__c","Cost_Center_Details_HCPTS__c.External_ID_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVNnQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Cost_Center_Details_HCPTS__c","Cost_Center_Details_HCPTS__c.Start_Date_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVNsQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","PII_Data_HCPTS__c","PII_Data_HCPTS__c.Account_Number_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVNjQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","PII_Data_HCPTS__c","PII_Data_HCPTS__c.Bank_Address_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVNxQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","PII_Data_HCPTS__c","PII_Data_HCPTS__c.Bank_Branch_Number_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVO2QAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","PII_Data_HCPTS__c","PII_Data_HCPTS__c.Bank_City_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVO7QAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","PII_Data_HCPTS__c","PII_Data_HCPTS__c.Bank_Country_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVNKQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","PII_Data_HCPTS__c","PII_Data_HCPTS__c.Bank_Name_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVOCQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","PII_Data_HCPTS__c","PII_Data_HCPTS__c.Bank_Number_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVO8QAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","PII_Data_HCPTS__c","PII_Data_HCPTS__c.Bank_Postal_Code_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVNeQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","PII_Data_HCPTS__c","PII_Data_HCPTS__c.Bank_State_Province_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVOHQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","PII_Data_HCPTS__c","PII_Data_HCPTS__c.Contract_Party_Tax_ID_2_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVNaQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","PII_Data_HCPTS__c","PII_Data_HCPTS__c.Contract_Party_Tax_ID_3_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVOMQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","PII_Data_HCPTS__c","PII_Data_HCPTS__c.Contract_Party_VAT_ID_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVORQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","PII_Data_HCPTS__c","PII_Data_HCPTS__c.Contract_Tax_ID_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVOWQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","PII_Data_HCPTS__c","PII_Data_HCPTS__c.Created_By_HCTPS__c","FALSE","TRUE","Item Created"
"01k5E000008PVO3QAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","PII_Data_HCPTS__c","PII_Data_HCPTS__c.IBAN_Number_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVObQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","PII_Data_HCPTS__c","PII_Data_HCPTS__c.Last_Modified_By_HCPTS__c","FALSE","TRUE","Item Created"
"01k5E000008PVMhQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","PII_Data_HCPTS__c","PII_Data_HCPTS__c.Swift_Code_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVOgQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","PII_Data_HCPTS__c","PII_Data_HCPTS__c.VAT_Registration_Number_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVOlQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Plant_Code_Details_HCPTS__c","Plant_Code_Details_HCPTS__c.Active_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVOqQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Plant_Code_Details_HCPTS__c","Plant_Code_Details_HCPTS__c.Address_Line_1_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVOvQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Plant_Code_Details_HCPTS__c","Plant_Code_Details_HCPTS__c.Address_Line_2_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVP0QAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Plant_Code_Details_HCPTS__c","Plant_Code_Details_HCPTS__c.City_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVP5QAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Plant_Code_Details_HCPTS__c","Plant_Code_Details_HCPTS__c.Country_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVPAQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Plant_Code_Details_HCPTS__c","Plant_Code_Details_HCPTS__c.End_Date_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVMcQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Plant_Code_Details_HCPTS__c","Plant_Code_Details_HCPTS__c.External_ID_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVPFQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Plant_Code_Details_HCPTS__c","Plant_Code_Details_HCPTS__c.Formatted_Address_HCPTS__c","FALSE","TRUE","Item Created"
"01k5E000008PVPGQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Plant_Code_Details_HCPTS__c","Plant_Code_Details_HCPTS__c.Name_of_Company_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVPKQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Plant_Code_Details_HCPTS__c","Plant_Code_Details_HCPTS__c.Plant_Code_Name_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVMiQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Plant_Code_Details_HCPTS__c","Plant_Code_Details_HCPTS__c.Postal_Code_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVOXQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Plant_Code_Details_HCPTS__c","Plant_Code_Details_HCPTS__c.Start_Date_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVMmQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Plant_Code_Details_HCPTS__c","Plant_Code_Details_HCPTS__c.State_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVPPQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Purchase_Org_Details_HCPTS__c","Purchase_Org_Details_HCPTS__c.Active_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVPUQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Purchase_Org_Details_HCPTS__c","Purchase_Org_Details_HCPTS__c.Company_Code_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVPZQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Purchase_Org_Details_HCPTS__c","Purchase_Org_Details_HCPTS__c.Country_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVPeQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Purchase_Org_Details_HCPTS__c","Purchase_Org_Details_HCPTS__c.End_Date_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVPjQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Purchase_Org_Details_HCPTS__c","Purchase_Org_Details_HCPTS__c.External_ID_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVPoQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Purchase_Org_Details_HCPTS__c","Purchase_Org_Details_HCPTS__c.Purchase_Org_Name_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVPtQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Purchase_Org_Details_HCPTS__c","Purchase_Org_Details_HCPTS__c.Start_Date_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVPQQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","SAP_Expense_Line_HCPTS__c","SAP_Expense_Line_HCPTS__c.Actual_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVMjQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","SAP_Expense_Line_HCPTS__c","SAP_Expense_Line_HCPTS__c.Actual_in_Requested_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVODQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","SAP_Expense_Line_HCPTS__c","SAP_Expense_Line_HCPTS__c.Check_Currency_Funding_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVPpQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","SAP_Expense_Line_HCPTS__c","SAP_Expense_Line_HCPTS__c.Check_Currency_Requested_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVPyQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","SAP_Expense_Line_HCPTS__c","SAP_Expense_Line_HCPTS__c.Check_Number_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVQ3QAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","SAP_Expense_Line_HCPTS__c","SAP_Expense_Line_HCPTS__c.Check_Total_Amount_Funding_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVQ8QAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","SAP_Expense_Line_HCPTS__c","SAP_Expense_Line_HCPTS__c.Check_Total_Amount_Requested_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVQDQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","SAP_Expense_Line_HCPTS__c","SAP_Expense_Line_HCPTS__c.Currency_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVQIQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","SAP_Expense_Line_HCPTS__c","SAP_Expense_Line_HCPTS__c.Currency_Requested_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVP6QAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","SAP_Expense_Line_HCPTS__c","SAP_Expense_Line_HCPTS__c.Description_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVQNQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","SAP_Expense_Line_HCPTS__c","SAP_Expense_Line_HCPTS__c.Expense_Type_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVMdQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","SAP_Expense_Line_HCPTS__c","SAP_Expense_Line_HCPTS__c.Payment_Amount_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVQSQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","SAP_Expense_Line_HCPTS__c","SAP_Expense_Line_HCPTS__c.Payment_Currency_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVQXQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","SAP_Expense_Line_HCPTS__c","SAP_Expense_Line_HCPTS__c.Payment_Date_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVQcQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","SAP_Expense_Line_HCPTS__c","SAP_Expense_Line_HCPTS__c.Payment_Document_Number_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVQhQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","SAP_Expense_Line_HCPTS__c","SAP_Expense_Line_HCPTS__c.Payment_Type_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVQiQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","SAP_Expense_Line_HCPTS__c","SAP_Expense_Line_HCPTS__c.SAP_Document_Number_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVQmQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","SAP_Expense_Line_HCPTS__c","SAP_Expense_Line_HCPTS__c.SAP_Reference_Number_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVQJQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","SAP_Expense_Line_HCPTS__c","SAP_Expense_Line_HCPTS__c.Sign_Indicator_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVNAQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","SAP_Expense_Line_HCPTS__c","SAP_Expense_Line_HCPTS__c.Status__c","TRUE","TRUE","Item Created"
"01k5E000008PVNLQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","SAP_Expense_Line_HCPTS__c","SAP_Expense_Line_HCPTS__c.Text_Line_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVOhQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","WBS_Details_HCPTS__c","WBS_Details_HCPTS__c.Active_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVQrQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","WBS_Details_HCPTS__c","WBS_Details_HCPTS__c.Available_Budget_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVQKQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","WBS_Details_HCPTS__c","WBS_Details_HCPTS__c.Company_Code_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVQwQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","WBS_Details_HCPTS__c","WBS_Details_HCPTS__c.Company_Code_Purchase_Org_Country__c","FALSE","TRUE","Item Created"
"01k5E000008PVQYQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","WBS_Details_HCPTS__c","WBS_Details_HCPTS__c.Currency_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVR1QAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","WBS_Details_HCPTS__c","WBS_Details_HCPTS__c.End_Date_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVR6QAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","WBS_Details_HCPTS__c","WBS_Details_HCPTS__c.External_ID_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVOEQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","WBS_Details_HCPTS__c","WBS_Details_HCPTS__c.Parent_Description_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVPLQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","WBS_Details_HCPTS__c","WBS_Details_HCPTS__c.Parent_Name_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVRBQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","WBS_Details_HCPTS__c","WBS_Details_HCPTS__c.Start_Date_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVRGQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","WBS_Details_HCPTS__c","WBS_Details_HCPTS__c.Total_Budget_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVRLQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","WBS_Details_HCPTS__c","WBS_Details_HCPTS__c.WBS_Description_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVRQQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Call2_vod__c","Call2_vod__c.EM_Event_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PVRVQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Preferences_vod__c","Preferences_vod__c.Event_Country_Config_vod__c","FALSE","TRUE","Item Created"
"01k5E000008PVRHQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Preferences_vod__c","Preferences_vod__c.Event_Management_User_vod__c","FALSE","TRUE","Item Created"
"01k5E000008PVPMQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Event_Attendee_vod__c","Event_Attendee_vod__c.Entity_Reference_Id_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PVPzQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Event_Attendee_vod__c","Event_Attendee_vod__c.Override_Lock_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PVRaQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Event_Attendee_vod__c","Event_Attendee_vod__c.Audience_Type_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVRWQA4","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Event_Attendee_vod__c","Event_Attendee_vod__c.Professional_ID_HCPTS__c","TRUE","TRUE","Item Created"
"01k5E000008PVNtQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Event_Attendee_vod__c","Event_Attendee_vod__c.Attendee_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PVRfQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Event_Attendee_vod__c","Event_Attendee_vod__c.User_vod__c","TRUE","TRUE","Item Created"
"01k5E000008PVRkQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Event_Attendee_vod__c","Event_Attendee_vod__c.Attendee_Type_vod__c","FALSE","TRUE","Item Created"
"01k5E000008PVRpQAO","0PS3E0000000FeyWAE","0PS5E000000Cm8SWAS","Event_Attendee_vod__c","Event_Attendee_vod__c.Status_vod__c","TRUE","TRUE","Item Created"
