Id,Allow_Comments_vod__c,Approver_Role_vod__c,Button_Name_vod__c,External_ID_vod__c,Country_Override_vod__c,Starting_Status_vod__c,Ending_Status_vod__c,Entry_Criteria_Not_Met_Message_vod__c,RecordType.Name,SFDC_Action_Type_vod__c
a4WZ0000000I8WnMAK,1,,Replan_BMS,,,Approved_vod,Pre-Event,,Button_Click_vod,
a4WZ0000000I8WqMAK,1,,PostEvent,,,Approved_vod,Post-Event,,Button_Click_vod,
a4WZ0000000I8WrMAK,1,,Close_vod,,,Post-Event,Closed_vod,,Button_Click_vod,
a4WZ0000000I8WsMAK,1,,PostEvent,,,Pre-Event,Post-Event,,Button_Click_vod,
a4WZ0000000I8WuMAK,1,,Reschedule_vod,,,Pre-Event,Pre-Event,,Button_Click_vod,
a4WZ0000000I8WvMAK,1,,Reschedule_vod,,,Approved_vod,Pre-Event,,Button_Click_vod,
a4WZ0000000I8WxMAK,1,,Cancel_Event_vod,,,Pre-Event,Canceled_vod,,Button_Click_vod,
a4WZ0000000I8WyMAK,1,,Cancel_Event_vod,,,Approved_vod,Canceled_vod,,Button_Click_vod,
a4WZ0000000I8X0MAK,1,,Unlock_vod,,,Closed_vod,Post-Event,,Button_Click_vod,
a4WZ0000000I8X2MAK,1,,Cancel_Event_vod,,,Post-Event,Canceled_vod,,Button_Click_vod,
a4WZ0000000I8X5MAK,1,,Replan_BMS,,,Post-Event,Pre-Event,,Button_Click_vod,
a4WZ0000000I8X6MAK,1,,Submit_for_Approval_vod,,a4YZ0000000FTlKMAW,Pre-Event,Pending_Approval_vod,,Button_Click_vod,
a4WZ0000000I8X7MAK,1,,Approve_vod,,a4YZ0000000FTlKMAW,Pending_Approval_vod,Approved_vod,,Button_Click_vod,
a4WZ0000000I8X8MAK,1,,Reject_vod,,a4YZ0000000FTlKMAW,Pending_Approval_vod,Pre-Event,,Button_Click_vod,
a4WZ0000000I8ibMAC,1,,Recall_BMS,EC -0000000053EARecall,a4YZ0000000FTlKMAW,Pending_Approval_vod,Pre-Event,,Button_Click_vod,
a4WZ0000000I8igMAC,1,Approver_vod,Submit_for_SFDC_Approval,,a4YZ0000000FTlKMAW,Pre-Event,SFDC,BMS_EM_APPROVAL_CRITERIA_MESSAGE;;EVENT_MANAGEMENT_BMS,Button_Click_vod,Submit_Manual_vod
a4WZ0000000I8iqMAC,1,,Recall_Approval_Request_vod,Recall_SFDC-EC -0000000053-Pending_Approval_vod-SFDC,a4YZ0000000FTlKMAW,Pending_Approval_vod,SFDC,,Button_Click_vod,Recall_Approval_Request_vod
a4WZ0000000I8ivMAC,1,,Reject_SFDC,Reject_SFDC-EC -0000000053-Pending_Approval_vod-SFDC,a4YZ0000000FTlKMAW,Pending_Approval_vod,SFDC,,Button_Click_vod,Reject_vod
a4WZ0000000I8j0MAC,1,,Approve_SFDC,Approve_SFDCPending_Approval_vodEC -0000000053ECC -0000000138,a4YZ0000000FTlKMAW,Pending_Approval_vod,SFDC,,Button_Click_vod,Approve_vod
