ID,RECORDTYPEID,COUNTRY_OVERRIDE_VOD__C,EVENT_CONFIGURATION_VOD__C,EVENT_LAYOUT_VOD__C,EVENT_STATUS_VOD__C,EVENT_TEAM_ROLE_VOD__C,EXPENSE_ESTIMATE_LAYOUT_VOD__C,EXPENSE_HEADER_LAYOUT_VOD__C,EXPENSE_LINE_LAYOUT_VOD__C,EXTERNAL_ID__C,USER_PROFILE_VOD__C,VISIBLE_BUTTONS_VOD__C,USER_PROFILE_ID_VOD__C,EVENT_OBJECT_NAME_VOD__C,PAGE_LAYOUT_VOD__C,RECORD_TYPE_VOD__C
a4bZ0000000brrqIAA,012Z00000000oM7IAI,,a4b3E00000001J3QAI,BMS_Simple_SysAdmin,Pre-Event,,BMS Expense Estimate Layout,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,BMS - EMEA - ES - HCP Lead,;Edit;Reschedule_vod;Cancel_Event_vod;PostEvent;View_Signatures_vod;Generate_Sign_In_vod;Generate_Invitations_vod;,00eZ0000000QUueIAG,,,
a4bZ0000000brrrIAA,012Z00000000oM7IAI,,a4b3E00000001J3QAI,BMS_Simple_SysAdmin,Post-Event,,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,BMS - EMEA - ES - HCP Lead,;Edit;Cancel_Event_vod; Replan_BMS;Close_vod;View_Signatures_vod;Generate_Sign_In_vod;Generate_Invitations_vod;,00eZ0000000QUueIAG,,,
a4bZ0000000brrsIAA,012Z00000000oM7IAI,,a4b3E00000001J3QAI,BMS_Simple_SysAdmin,Closed_vod,,BMS Expense Estimate Layout,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,BMS - EMEA - ES - HCP Lead,;Unlock_vod;,00eZ0000000QUueIAG,,,
a4bZ0000000brrtIAA,012Z00000000oM7IAI,a4YZ0000000FTlLMAW,a4b3E00000001J3QAI,BMS_Simple_PreEvent,Pre-Event,Organizer_vod,BMS Expense Estimate Layout,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,;Edit;Delete;Reschedule_vod;Cancel_Event_vod;PostEvent;View_Signatures_vod;Attendee_Reconciliation_vod;Manage_Attendees_vod;,,,,
a4bZ0000000brruIAA,012Z00000000oM7IAI,,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Canceled_vod,,,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,,,,,
a4bZ0000000brrvIAA,012Z00000000oM7IAI,,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Closed_vod,,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,,,,,
a4bZ0000000brrwIAA,012Z00000000oM7IAI,,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Post-Event,,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,,,,,
a4bZ0000000brrxIAA,012Z00000000oM7IAI,,a4b3E00000001J3QAI,BMS_Simple_PreEvent,Pre-Event,Organizer_vod,BMS Expense Estimate Layout,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,;Edit;Delete;Reschedule_vod;Cancel_Event_vod;PostEvent;View_Signatures_vod;Generate_Invitations_vod;Generate_Sign_In_vod;Manage_Attendees_vod;,,,,
a4bZ0000000brryIAA,012Z00000000oM7IAI,,a4b3E00000001J3QAI,BMS_Simple_SysAdmin,Pre-Event,,BMS Expense Estimate Layout,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,System Administrator,;Edit;Delete;Reschedule_vod;Cancel_Event_vod;PostEvent;View_Signatures_vod;Generate_Sign_In_vod;Generate_Invitations_vod;,00ed00000019hV7AAI,,,
a4bZ0000000brrzIAA,012Z00000000oM7IAI,,a4b3E00000001J3QAI,BMS_Simple_SysAdmin,Post-Event,,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,System Administrator,;Edit;Cancel_Event_vod; Replan_BMS;Close_vod;View_Signatures_vod;Generate_Sign_In_vod;Generate_Invitations_vod;,00ed00000019hV7AAI,,,
a4bZ0000000brs0IAA,012Z00000000oM7IAI,,a4b3E00000001J3QAI,BMS_Simple_SysAdmin,Closed_vod,,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,System Administrator,;Unlock_vod;,00ed00000019hV7AAI,,,
a4bZ0000000brs1IAA,012Z00000000oM7IAI,,a4b3E00000001J3QAI,BMS_Simple_PostEvent,Post-Event,Organizer_vod,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,;Edit;Cancel_Event_vod; Replan_BMS;Close_vod;View_Signatures_vod;Generate_Sign_In_vod;Generate_Invitations_vod;Manage_Attendees_vod;Attendee_Reconciliation_vod;,,,,
a4bZ0000000brs2IAA,012Z00000000oM7IAI,,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Closed_vod,Organizer_vod,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,,,,,
a4bZ0000000brs3IAA,012Z00000000oM7IAI,a4YZ0000000FTlLMAW,a4b3E00000001J3QAI,BMS_Simple_PreEvent,Pre-Event,Service Coordinator,BMS Expense Estimate Layout,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,;Edit;Delete;Reschedule_vod;Cancel_Event_vod;Closeout_BMS;View_Signatures_vod;Attendee_Reconciliation_vod;,,,,
a4bZ0000000brs4IAA,012Z00000000oM7IAI,,a4b3E00000001J3QAI,BMS_Simple_PostEvent,Post-Event,Service Coordinator,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,;Edit;Cancel_Event_vod; Replan_BMS;Close_vod;View_Signatures_vod;Generate_Sign_In_vod;Generate_Invitations_vod;,,,,
a4bZ0000000brs5IAA,012Z00000005CXUIA2,,a4b3E00000001J3QAI,,Pre-Event,Organizer_vod,,,,,,;Edit;Delete;,,EM_Event_Speaker_vod,BMS Services Simplified Event Speaker Layout,Simplified_Event_Speaker_HCPTS
a4bZ0000000brs6IAA,012Z00000005CXUIA2,,a4b3E00000001J3QAI,,Post-Event,,,,,,,,,EM_Event_Speaker_vod,BMS Services Simplified Event Speaker Layout,Simplified_Event_Speaker_HCPTS
a4bZ0000000brs7IAA,012Z00000005CXUIA2,,a4b3E00000001J3QAI,,Closed_vod,,,,,,,,,EM_Event_Speaker_vod,BMS Services Simplified Event Speaker Layout,Simplified_Event_Speaker_HCPTS
a4bZ0000000brs8IAA,012Z00000000oM7IAI,a4YZ0000000FTlKMAW,a4b3E00000001J3QAI,BMS_Simple_PreEvent,Pre-Event,Organizer_vod,BMS Expense Estimate Layout,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,;Edit;Generate_Sign_In_vod;Generate_Invitations_vod;Reschedule_vod;Cancel_Event_vod;View_Signatures_vod;Attendee_Reconciliation_vod;Submit_for_SFDC_Approval;,,,,
a4bZ0000000brs9IAA,012Z00000000oM7IAI,a4YZ0000000FTlKMAW,a4b3E00000001J3QAI,BMS_Simple_PreEvent,Pre-Event,Service Coordinator,BMS Expense Estimate Layout,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,;Edit;Delete;Reschedule_vod;Submit_for_Approval_vod;Cancel_Event_vod;PostEvent;View_Signatures_vod;Attendee_Reconciliation_vod;,,,,
a4bZ0000000brsAIAQ,012Z00000000oM7IAI,a4YZ0000000FTlKMAW,a4b3E00000001J3QAI,BMS_Simple_Pending_Approval,Pending_Approval_vod,Organizer_vod,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,;Recall_Approval_Request_vod;,,,,
