ID,RECORDTYPEID,BUTTON_NAME_VOD__C,ENDING_STATUS_VOD__C,EXTERNAL_ID_VOD__C,APPROVER_ROLE_VOD__C,ENTRY_CRITERIA_NOT_MET_MESSAGE_VOD__C,SFDC_ACTION_TYPE_VOD__C,EVENT_CONFIGURATION_VOD__C
a4WZ0000000I8WnMAK,012d0000000XPG4AAO,Replan_BMS,Pre-Event,Pre-Eventa4b3E00000001J3QAI,,,,a4b3E00000001J3QAI
a4WZ0000000I8WqMAK,012d0000000XPG4AAO,PostEvent,Post-Event,Post-Eventa4b3E00000001J3QAI,,,,a4b3E00000001J3QAI
a4WZ0000000I8WrMAK,012d0000000XPG4AAO,Close_vod,Closed_vod,Closed_voda4b3E00000001J3QAI,,,,a4b3E00000001J3QAI
a4WZ0000000I8WuMAK,012d0000000XPG4AAO,Reschedule_vod,Pre-Event,Pre-Eventa4b3E00000001J3QAI,,,,a4b3E00000001J3QAI
a4WZ0000000I8WxMAK,012d0000000XPG4AAO,Cancel_Event_vod,Canceled_vod,Canceled_voda4b3E00000001J3QAI,,,,a4b3E00000001J3QAI
a4WZ0000000I8X0MAK,012d0000000XPG4AAO,Unlock_vod,Post-Event,Post-Eventa4b3E00000001J3QAI,,,,a4b3E00000001J3QAI
a4WZ0000000I8igMAC,012d0000000XPG4AAO,Submit_for_SFDC_Approval,SFDC,SFDCa4b3E00000001J3QAI,Approver_vod,BMS_EM_APPROVAL_CRITERIA_MESSAGE;;EVENT_MANAGEMENT_BMS,Submit_Manual_vod,a4b3E00000001J3QAI
a4WZ0000000I8iqMAC,012d0000000XPG4AAO,Recall_Approval_Request_vod,SFDC,SFDCa4b3E00000001J3QAI,,,Recall_Approval_Request_vod,a4b3E00000001J3QAI
a4WZ0000000I8ivMAC,012d0000000XPG4AAO,Reject_SFDC,SFDC,SFDCa4b3E00000001J3QAI,,,Reject_vod,a4b3E00000001J3QAI
a4WZ0000000I8j0MAC,012d0000000XPG4AAO,Approve_SFDC,SFDC,SFDCa4b3E00000001J3QAI,,,Approve_vod,a4b3E00000001J3QAI
