ID,TEXT_VOD__C,ACTIVE_VOD__C
a0Z58000000tSzEEAU,Manage Attendees,TRUE
a0Zd0000009bXRDEA2,Task History,TRUE
a0Z58000000tSz7EAE,Add Attendee,TRUE
a0Z58000003pqgrEAA,Add Attendee,TRUE
a0Z58000000tSzAEAU,Back to Event: {0},TRUE
a0Z58000003pqllEAA,Update Attendee(s),TRUE
a0Zd00000076sw7EAA,Next Approver,FALSE
a0Zd0000009bXRCEA2,Open Tasks,TRUE
a0Z58000000tSzGEAU,Recent Events {0},TRUE
a0Z58000003pqrjEAA,Remove Attendee,TRUE
a0Zd0000009bXRwEAM,Services,FALSE
a0Zd0000005NyRuEAK,,FALSE
a0Zd00000076k0dEAA,All Organizations ({0}),TRUE
a0Zd00000076k0cEAA,All Individuals ({0}),TRUE
a0Z58000000tSzBEAU,Attendees ({0}),TRUE
a0Z58000000eOMqEAM,"Simple_Activity_HCPTS,Simple_Attendee_HCPTS;;",TRUE
a0Z58000003pqjREAQ,Event Date,TRUE
a0Z58000003pqjvEAA,Event Type,TRUE
a0Z58000003pqk5EAA,Events I'm Attending,TRUE
a0Z58000003pqkiEAA,Events I Own,TRUE
a0Z58000003pqreEAA,New Event,TRUE
a0Z58000000tSzFEAU,EM Events,TRUE
