"ID","TEXT_VOD__C","ACTIVE_VOD__C","STATUS"
"a0Z58000000tSzEEAU","Manage Attendees","TRUE","Item Updated"
"a0Zd0000009bXRDEA2","Task History","TRUE","Item Updated"
"a0Z58000000tSz7EAE","Add Attendee","TRUE","Item Updated"
"a0Z58000003pqgrEAA","Add Attendee","TRUE","Item Updated"
"a0Z58000000tSzAEAU","Back to Event: {0}","TRUE","Item Updated"
"a0Z58000003pqllEAA","Update Attendee(s)","TRUE","Item Updated"
"a0Zd00000076sw7EAA","Next Approver","FALSE","Item Updated"
"a0Zd0000009bXRCEA2","Open Tasks","TRUE","Item Updated"
"a0Z58000000tSzGEAU","Recent Events {0}","TRUE","Item Updated"
"a0Z58000003pqrjEAA","Remove Attendee","TRUE","Item Updated"
"a0Zd0000009bXRwEAM","Services","FALSE","Item Updated"
"a0Zd0000005NyRuEAK","","FALSE","Item Updated"
"a0Zd00000076k0dEAA","All Organizations ({0})","TRUE","Item Updated"
"a0Zd00000076k0cEAA","All Individuals ({0})","TRUE","Item Updated"
"a0Z58000000tSzBEAU","Attendees ({0})","TRUE","Item Updated"
"a0Z58000000eOMqEAM","Simple_Activity_HCPTS,Simple_Attendee_HCPTS;;","TRUE","Item Updated"
"a0Z58000003pqjREAQ","Event Date","TRUE","Item Updated"
"a0Z58000003pqjvEAA","Event Type","TRUE","Item Updated"
"a0Z58000003pqk5EAA","Events I'm Attending","TRUE","Item Updated"
"a0Z58000003pqkiEAA","Events I Own","TRUE","Item Updated"
"a0Z58000003pqreEAA","New Event","TRUE","Item Updated"
"a0Z58000000tSzFEAU","EM Events","TRUE","Item Updated"
