"ID","SETUPOWNERID","ADVANCED_ATTENDEE_MANAGEMENT_VOD__C","EVENT_GRID_VIEW_VOD__C","NAME","PRODGRID","STATUS"
"a1Cd0000001yBUsEAM","00ed00000019hVrAAI","1","1","BMS-CHINA-SALES-DSM-ONCO-TAXOL","0","Item Updated"
"a1Cd0000001yBV8EAM","00ed00000019hWMAAY","1","1","BMS-CA-SA-FIELD","0","Item Updated"
"a1Cd0000001yBVOEA2","00ed00000019hVkAAI","1","1","BMS-CHINA-MEDICAL-MSM","0","Item Updated"
"a1Cd0000001z5bBEAQ","00ed0000000jVM4AAM","1","1","BMS - EMEA - NL - REP - ACCESS","0","Item Updated"
"a1Cd00000021BuuEAE","00ed0000000jZbAAAU","1","1","BMS - EMEA - UKI - HQ Access User","0","Item Updated"
"a1Cd000000BrCt5EAF","00ed0000001MhYvAAK","1","1","BMS - EMEA - IL - REP - MSL","0","Item Updated"
"a1Cd000000BrCt6EAF","00ed0000000jaoUAAQ","1","1","BMS - EMEA - PT - HQ Sales User","0","Item Updated"
"a1Cd000000BrCt8EAF","00ed0000000jangAAA","1","1","BMS - EMEA - PT - HQ Access User","0","Item Updated"
"a1Cd000000BrUObEAN","00ed0000001MhqGAAS","1","1","BMS - MEA - REP - MSL","0","Item Updated"
"a1Cd000000BrUOfEAN","00ed0000001MhqVAAS","1","1","BMS - MEA - HQ Access User","0","Item Updated"
"a1Cd000000EUpsnEAD","00ed0000000jaQSAAY","1","1","BMS - EMEA - NL - REP - EPM","0","Item Updated"
"a1Cd000000EVJhZEAX","00ed0000000jad7AAA","1","1","BMS - EMEA - FR - REP - SALES","0","Item Updated"
"a1Cd000000EVYuxEAH","00ed0000000jamEAAQ","1","1","BMS - EMEA - CH - REP - SALES","0","Item Updated"
"a1Cd000000EVxN5EAL","00ed0000000japrAAA","1","1","BMS - EMEA - TR - REP - SALES","0","Item Updated"
"a1Cd000000EW35REAT","00ed0000000jaq1AAA","1","1","BMS - EMEA - RU - REP - SALES","0","Item Updated"
"a1Cd000000EW35qEAD","00ed0000000jb5QAAQ","1","1","BMS - EMEA - HU - HQ Access User","0","Item Updated"
