"ID","ADVANCED_ATTENDEE_MANAGEMENT_VOD__C","EVENT_GRID_VIEW_VOD__C","SETUPOWNER.NAME"
"a1Cd00000021ButEAE","0.0","0.0","BMS - EMEA - UKI - REP - KCM"
"a1Cd00000021BuxEAE","0.0","0.0","BMS - EMEA - UKI - REP - MSL"
"a1Cd00000021pHDEAY","0.0","0.0","BMS - EMEA - NDS - HQ Sales User"
"a1Cd000000BrCt0EAF","0.0","0.0","BMS - EMEA - PT - REP - MSL"
"a1Cd000000BrUOhEAN","0.0","0.0","BMS - MEA - HQ Sales User"
"a1Cd000000EVJgWEAX","0.0","0.0","BMS - EMEA - FR - HQ Sales User"
"a1Cd000000EVxN5EAL","0.0","0.0","BMS - EMEA - TR - REP - SALES"
"a1Cd000000EW35nEAD","0.0","0.0","BMS - EMEA - HU - REP - MSL"
"a1Cd0000001yBUwEAM","0.0","0.0","BMS-CHINA-SALES-REP-ONCO-TAXOL"
"a1Cd0000001yBVOEA2","0.0","0.0","BMS-CHINA-MEDICAL-MSM"
"a1Cd0000001z5b3EAA","1.0","1.0","BMS - EMEA - DE - REP - ACCESS"
"a1Cd0000001yBUrEAM","0.0","0.0","BMS-SPEC23-REP-METSALES(Sampling)"
"a1Cd0000001yBV4EAM","0.0","0.0","BMS-SPEC22-REP-SALES"
"a1Cd0000001yBUvEAM","0.0","0.0","BMS-INDIA-MEDICAL-MSMM"
"a1Cd0000001z5b0EAA","0.0","0.0","BMS - EMEA - ES - REP - SALES"
"a1Cd00000020rGwEAI","0.0","0.0","BMS - EMEA - AT - HQ Sales User"
"a1Cd000000BrCtAEAV","0.0","0.0","BMS - EMEA - IL - REP - ACCESS"
"a1Cd000000EVJgMEAX","0.0","0.0","BMS - EMEA - FR - REP - ACCESS"
"a1Cd000000EVYt9EAH","0.0","0.0","BMS - EMEA - CH - REP - ACCESS"
"a1Cd000000EVsW1EAL","0.0","0.0","BMS - EMEA - GR - REP - SALES"
"a1Cd000000EW35PEAT","0.0","0.0","BMS - EMEA - RU - HQ MSM User"
"a1Cd000000EW35tEAD","0.0","0.0","BMS - EMEA - CZ - HQ Sales User"
"a1Cd0000001yBUuEAM","0.0","0.0","BMS-CA-SA-MGR"
"a1Cd00000020rHuEAI","0.0","0.0","BMS - EMEA - ES - HQ Sales User"
"a1Cd00000021pHCEAY","0.0","0.0","BMS - EMEA - NDS - REP - ACCESS"
"a1Cd000000EW35OEAT","0.0","0.0","BMS - EMEA - RU - REP - MSL"
"a1Cd000000EW35qEAD","0.0","0.0","BMS - EMEA - HU - HQ Access User"
"a1Cd000000EW56GEAT","0.0","0.0","BMS - EMEA - IT - HQ MSM User"
"a1Cd0000001yBUqEAM","0.0","0.0","BMS-CA-HO-ReadOnly"
"a1Cd0000001yBUyEAM","0.0","0.0","BMS-CHINA-SALES-DSM-DB"
"a1Cd0000001yBV6EAM","0.0","0.0","BMS-CHINA-SALES-DSM-OTC"
"a1Cd0000001yBVJEA2","0.0","0.0","BMS-INDIA-MEDICAL-MSM"
"a1Cd0000001z5ayEAA","0.0","0.0","BMS - EMEA - RO - REP - SALES"
"a1Cd0000001z5b7EAA","0.0","0.0","BMS - EMEA - BE - REP - SALES"
"a1Cd0000001z5bFEAQ","0.0","0.0","BMS - EMEA - RO - REP - MSL"
