Field,Id,ParentId,PermissionsEdit,PermissionsRead,SobjectType
EM_Speaker_Qualification_vod__c.Contract_Line_vod__c,01k5800008hUQCpAAO,0PS58000000EReZGAW,TRUE,TRUE,EM_Speaker_Qualification_vod__c
EM_Speaker_Qualification_vod__c.Contract_Partner_Status_vod__c,01k5800008hUQCiAAO,0PS58000000EReZGAW,TRUE,TRUE,EM_Speaker_Qualification_vod__c
EM_Speaker_Qualification_vod__c.Contract_Status_vod__c,01k5800008hUQChAAO,0PS58000000EReZGAW,TRUE,TRUE,EM_Speaker_Qualification_vod__c
EM_Speaker_Qualification_vod__c.End_Date_vod__c,01k5800008hUQCnAAO,0PS58000000EReZGAW,TRUE,TRUE,EM_Speaker_Qualification_vod__c
EM_Speaker_Qualification_vod__c.External_ID_vod__c,01k5800008hUQClAAO,0PS58000000EReZGAW,TRUE,TRUE,EM_Speaker_Qualification_vod__c
EM_Speaker_Qualification_vod__c.Qualification_Name_vod__c,01k5800008hUQCjAAO,0PS58000000EReZGAW,FALSE,TRUE,EM_Speaker_Qualification_vod__c
EM_Speaker_Qualification_vod__c.Qualification_vod__c,01k5800008hUQCqAAO,0PS58000000EReZGAW,TRUE,TRUE,EM_Speaker_Qualification_vod__c
EM_Speaker_Qualification_vod__c.Rate_Type_vod__c,01k5800008hUQCgAAO,0PS58000000EReZGAW,TRUE,TRUE,EM_Speaker_Qualification_vod__c
EM_Speaker_Qualification_vod__c.Rate_vod__c,01k5800008hUQCmAAO,0PS58000000EReZGAW,TRUE,TRUE,EM_Speaker_Qualification_vod__c
EM_Speaker_Qualification_vod__c.Speaker_vod__c,01k5800008hUQCfAAO,0PS58000000EReZGAW,TRUE,TRUE,EM_Speaker_Qualification_vod__c
EM_Speaker_Qualification_vod__c.Start_Date_vod__c,01k5800008hUQCoAAO,0PS58000000EReZGAW,TRUE,TRUE,EM_Speaker_Qualification_vod__c
EM_Speaker_Qualification_vod__c.Vendor_vod__c,01k5800008hUQCkAAO,0PS58000000EReZGAW,TRUE,TRUE,EM_Speaker_Qualification_vod__c
EM_Venue_vod__c.Country_HCPTS__c,01k5800008yDKFgAAO,0PS58000000EReZGAW,TRUE,TRUE,EM_Venue_vod__c
EM_Venue_vod__c.Country_Reference_HCPTS__c,01k5800008yDKFhAAO,0PS58000000EReZGAW,TRUE,TRUE,EM_Venue_vod__c
