FIELD,ID,PARENTID,PERMISSIONSEDIT,PARENT.NAME,PERMISSIONSREAD,SOBJECTTYPE
Country_vod__c.Alpha_2_Code_vod__c,01kZ000001KW9tXIAT,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,Country_vod__c
Country_vod__c.Country_Name_vod__c,01kZ000001KW9tYIAT,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,Country_vod__c
EM_Attendee_vod__c.Address_Line_1_vod__c,01kZ000001MO9XWIA1,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Address_Line_2_vod__c,01kZ000001MO9XXIA1,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.City_vod__c,01kZ000001MO9XbIAL,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Credentials_vod__c,01kZ000001MO9XlIAL,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Email_vod__c,01kZ000001MO9XoIAL,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.First_Name_vod__c,01kZ000001MO9XtIAL,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Last_Name_vod__c,01kZ000001MO9XyIAL,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Organization__c,01kZ000001MO9Y3IAL,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Phone_vod__c,01kZ000001MO9Y6IAL,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Prescriber_vod__c,01kZ000001MO9Y9IAL,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Title_vod__c,01kZ000001MO9YRIA1,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Walk_In_Reference_ID_vod__c,01kZ000001MO9YUIA1,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Walk_In_Status_vod__c,01kZ000001MO9YVIA1,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Zip_vod__c,01kZ000001MO9YWIA1,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Contract_Party_HCPTS__c,01kZ000001MO9XeIAL,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Audience_Type_HCPTS__c,01kZ000001MO9XZIA1,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Service_Type_HCPTS__c,01kZ000001MO9YDIA1,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Contract_Type_HCPTS__c,01kZ000001MO9XhIAL,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Contract_Subtype_HCPTS__c,01kZ000001MO9XgIAL,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Contract_Party_Name_HCPTS__c,01kZ000001MO9XfIAL,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Tax_Id_HCPTS__c,01kZ000001MO9YOIA1,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Tax_Id_Type_HCPTS__c,01kZ000001MO9YPIA1,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Sponsorship_Letter_HCPTS__c,01kZ000001MO9YIIA1,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Related_ICF_HCPTS__c,01kZ000001MO9YCIA1,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Language__c,01kZ000001MO9XwIAL,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Activity_Type_HCPTS__c,01kZ000001MO9XVIA1,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Professional_ID_HCPTS__c,01kZ000001MO9YAIA1,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Registration_Status_HCPTS__c,01kZ000001MO9YBIA1,0PSZ0000000D2EhOAK,FALSE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Account_vod__c,01kZ000001MO9XmIAL,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Attendee_Name_vod__c,01kZ000001MO9XYIA1,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Contact_vod__c,01kZ000001MO9XdIAL,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.End_Time_vod__c,01kZ000001MO9XpIAL,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
EM_Attendee_vod__c.Event_vod__c,01kZ000001MO9XUIA1,0PSZ0000000D2EhOAK,TRUE,EMv2_Simple_BMS_Field_User,TRUE,EM_Attendee_vod__c
