"FIELD","ID","PARENTID","PERMISSIONSEDIT","PARENT.NAME","PERMISSIONSREAD","SOBJECTTYPE"
"EM_Attendee_vod__c.Online_Registration_Status_vod__c","01kZ000001MOCS1IAP","0PSZ000000098KdOAI","true","EMv2_Simple_BMS_v27_and_above_Permissions","true","EM_Attendee_vod__c"
"EM_Event_Layout_vod__c.Event_Object_Name_vod__c","01kZ000001MiYV9IAN","0PSZ000000098KdOAI","false","EMv2_Simple_BMS_v27_and_above_Permissions","true","EM_Event_Layout_vod__c"
"EM_Event_Layout_vod__c.Page_Layout_vod__c","01kZ000001MiYVBIA3","0PSZ000000098KdOAI","false","EMv2_Simple_BMS_v27_and_above_Permissions","true","EM_Event_Layout_vod__c"
"EM_Event_Layout_vod__c.Record_Type_vod__c","01kZ000001MiYVAIA3","0PSZ000000098KdOAI","false","EMv2_Simple_BMS_v27_and_above_Permissions","true","EM_Event_Layout_vod__c"
"EM_Event_vod__c.Contact_Attendee_Fields_vod__c","01kZ000001MOCRxIAP","0PSZ000000098KdOAI","true","EMv2_Simple_BMS_v27_and_above_Permissions","true","EM_Event_vod__c"
"EM_Event_vod__c.User_Attendee_Fields_vod__c","01kZ000001MOCS0IAP","0PSZ000000098KdOAI","true","EMv2_Simple_BMS_v27_and_above_Permissions","true","EM_Event_vod__c"
"EM_Event_vod__c.Account_Attendee_Fields_vod__c","01kZ000001MOCRwIAP","0PSZ000000098KdOAI","true","EMv2_Simple_BMS_v27_and_above_Permissions","true","EM_Event_vod__c"
"EM_Event_vod__c.Online_Registrant_Count_vod__c","01kZ000001MOCRyIAP","0PSZ000000098KdOAI","true","EMv2_Simple_BMS_v27_and_above_Permissions","true","EM_Event_vod__c"
"EM_Event_vod__c.Online_Registration_Fields_vod__c","01kZ000001MOCRzIAP","0PSZ000000098KdOAI","true","EMv2_Simple_BMS_v27_and_above_Permissions","true","EM_Event_vod__c"
"Metadata_Definition_vod__c.Record_Type_vod__c","01kZ000001MOCQpIAP","0PSZ000000098KdOAI","true","EMv2_Simple_BMS_v27_and_above_Permissions","true","Metadata_Definition_vod__c"
"Metadata_Translation_vod__c.Record_Type_vod__c","01kZ000001MOCQuIAP","0PSZ000000098KdOAI","true","EMv2_Simple_BMS_v27_and_above_Permissions","true","Metadata_Translation_vod__c"
"EM_Event_Rule_vod__c.Event_Configuration_vod__c","01kZ000001MOCRsIAP","0PSZ000000098KdOAI","false","EMv2_Simple_BMS_v27_and_above_Permissions","true","EM_Event_Rule_vod__c"
