"FIELD","PARENTID","PERMISSIONSEDIT","PERMISSIONSREAD","SOBJECTTYPE","ERROR"
"Country_vod__c.Alpha_2_Code_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","Country_vod__c","invalid cross reference id"
"Country_vod__c.Country_Name_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","Country_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Address_Line_1_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Address_Line_2_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.City_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Credentials_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Email_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.First_Name_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Last_Name_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Organization__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Phone_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Prescriber_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Title_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Walk_In_Reference_ID_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Walk_In_Status_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Zip_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Contract_Party_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Audience_Type_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Service_Type_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Contract_Type_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Contract_Subtype_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Contract_Party_Name_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Tax_Id_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Tax_Id_Type_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Sponsorship_Letter_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Related_ICF_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Language__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Activity_Type_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Professional_ID_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Registration_Status_HCPTS__c","0PS3E0000000FeyWAE","FALSE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Account_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Attendee_Name_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Contact_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.End_Time_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Event_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.External_ID_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Meal_Opt_In_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Meal_Preference_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Organization_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Signature_Datetime_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Signature_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Signee_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Start_Time_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Status_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Stub_Mobile_Id_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Stub_SFDC_Id_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.User_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Vessel_Number_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Mobile_ID_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
"EM_Attendee_vod__c.Title_Formula_HCPTS__c","0PS3E0000000FeyWAE","FALSE","TRUE","EM_Attendee_vod__c","invalid cross reference id"
