"FIELD","PARENTID","PERMISSIONSEDIT","PERMISSIONSREAD","SOBJECTTYPE","ERROR"
"EM_Event_Speaker_vod__c.Ariba_SOW_Number_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Event_Speaker_vod__c","Field Name: bad value for restricted picklist field: EM_Event_Speaker_vod__c.Ariba_SOW_Number_HCPTS__c"
"EM_Event_vod__c.Sign_In_Sheet__c","0PS3E0000000FeyWAE","FALSE","TRUE","EM_Event_vod__c","Field Name: bad value for restricted picklist field: EM_Event_vod__c.Sign_In_Sheet__c"
"EM_Event_vod__c.Generate_Invite__c","0PS3E0000000FeyWAE","FALSE","TRUE","EM_Event_vod__c","Field Name: bad value for restricted picklist field: EM_Event_vod__c.Generate_Invite__c"
"EM_Event_vod__c.Sign_In_Sheet_HCPTS__c","0PS3E0000000FeyWAE","FALSE","TRUE","EM_Event_vod__c","Field Name: bad value for restricted picklist field: EM_Event_vod__c.Sign_In_Sheet_HCPTS__c"
"Event_Attendee_vod__c.Last_Available_Buttons_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","Event_Attendee_vod__c","Field Name: bad value for restricted picklist field: Event_Attendee_vod__c.Last_Available_Buttons_vod__c"
"Account.View_Online_HCPTS__c","0PS3E0000000FeyWAE","FALSE","TRUE","Account","Field Name: bad value for restricted picklist field: Account.View_Online_HCPTS__c"
"Event.Requested_Service_Provider_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","Event","Field Name: bad value for restricted picklist field: Event.Requested_Service_Provider_HCPTS__c"
"Task.Event_Canceled_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","Task","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"Task.Requested_Service_Provider_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","Task","Field Name: bad value for restricted picklist field: Task.Requested_Service_Provider_HCPTS__c"
"Task.Followup_Activity_Type_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","Task","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"Task.Override_Lock_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","Task","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"Task.Mobile_ID_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","Task","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"Task.Color_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","Task","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"Task.Description","0PS3E0000000FeyWAE","TRUE","TRUE","Task","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"Task.IsVisibleInSelfService","0PS3E0000000FeyWAE","TRUE","TRUE","Task","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"Task.Type","0PS3E0000000FeyWAE","TRUE","TRUE","Task","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"Task.What","0PS3E0000000FeyWAE","TRUE","TRUE","Task","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"EM_Attendee_vod__c.Online_Registration_Status_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"EM_Event_vod__c.Contact_Attendee_Fields_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Event_vod__c","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
"EM_Event_vod__c.User_Attendee_Fields_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Event_vod__c","duplicate value found: <unknown> duplicates value on record with id: <unknown>"
