"ID","FIELD","PARENTID","PERMISSIONSEDIT","PERMISSIONSREAD","SOBJECTTYPE","STATUS"
"01k3E000008mlrEQAQ","Country_vod__c.Alpha_2_Code_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","Country_vod__c","Item Created"
"01k3E000008mlrFQAQ","Country_vod__c.Country_Name_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","Country_vod__c","Item Created"
"01k3E000008mlrGQAQ","EM_Attendee_vod__c.Address_Line_1_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrHQAQ","EM_Attendee_vod__c.Address_Line_2_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrIQAQ","EM_Attendee_vod__c.City_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrJQAQ","EM_Attendee_vod__c.Credentials_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrKQAQ","EM_Attendee_vod__c.Email_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrLQAQ","EM_Attendee_vod__c.First_Name_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrMQAQ","EM_Attendee_vod__c.Last_Name_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrNQAQ","EM_Attendee_vod__c.Organization__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrOQAQ","EM_Attendee_vod__c.Phone_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrPQAQ","EM_Attendee_vod__c.Prescriber_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrQQAQ","EM_Attendee_vod__c.Title_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrRQAQ","EM_Attendee_vod__c.Walk_In_Reference_ID_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrSQAQ","EM_Attendee_vod__c.Walk_In_Status_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrTQAQ","EM_Attendee_vod__c.Zip_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrUQAQ","EM_Attendee_vod__c.Contract_Party_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrVQAQ","EM_Attendee_vod__c.Audience_Type_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrWQAQ","EM_Attendee_vod__c.Service_Type_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrXQAQ","EM_Attendee_vod__c.Contract_Type_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrYQAQ","EM_Attendee_vod__c.Contract_Subtype_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrZQAQ","EM_Attendee_vod__c.Contract_Party_Name_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlraQAA","EM_Attendee_vod__c.Tax_Id_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrbQAA","EM_Attendee_vod__c.Tax_Id_Type_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrcQAA","EM_Attendee_vod__c.Sponsorship_Letter_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrdQAA","EM_Attendee_vod__c.Related_ICF_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlreQAA","EM_Attendee_vod__c.Language__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrfQAA","EM_Attendee_vod__c.Activity_Type_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrgQAA","EM_Attendee_vod__c.Professional_ID_HCPTS__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrhQAA","EM_Attendee_vod__c.Registration_Status_HCPTS__c","0PS3E0000000FeyWAE","FALSE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlriQAA","EM_Attendee_vod__c.Account_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrjQAA","EM_Attendee_vod__c.Attendee_Name_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrkQAA","EM_Attendee_vod__c.Contact_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrlQAA","EM_Attendee_vod__c.End_Time_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
"01k3E000008mlrmQAA","EM_Attendee_vod__c.Event_vod__c","0PS3E0000000FeyWAE","TRUE","TRUE","EM_Attendee_vod__c","Item Created"
