"ID","PARENTID","PERMISSIONSCREATE","PERMISSIONSDELETE","PERMISSIONSEDIT","PERMISSIONSMODIFYALLRECORDS","PERMISSIONSREAD","PERMISSIONSVIEWALLRECORDS","SOBJECTTYPE","STATUS"
"1103E000000IPx7QAG","0PS3E0000000FeyWAE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","Country_vod__c","Item Created"
"1103E000000IPxCQAW","0PS3E0000000FeyWAE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","EM_Attendee_vod__c","Item Created"
"1103E000000IPxHQAW","0PS3E0000000FeyWAE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","EM_Budget_vod__c","Item Created"
"1103E000000IPx8QAG","0PS3E0000000FeyWAE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","EM_Event_Action_vod__c","Item Created"
"1103E000000IPxMQAW","0PS3E0000000FeyWAE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","EM_Event_Budget_vod__c","Item Created"
"1103E000000IPxRQAW","0PS3E0000000FeyWAE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","EM_Event_Configuration_Country_vod__c","Item Created"
"1103E000000IPxWQAW","0PS3E0000000FeyWAE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","EM_Event_Configuration_vod__c","Item Created"
"1103E000000IPxbQAG","0PS3E0000000FeyWAE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","EM_Event_History_vod__c","Item Created"
"1103E000000IPxgQAG","0PS3E0000000FeyWAE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","EM_Event_Layout_vod__c","Item Created"
"1103E000000IPxIQAW","0PS3E0000000FeyWAE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","EM_Event_Session_Attendee_vod__c","Item Created"
"1103E000000IPxlQAG","0PS3E0000000FeyWAE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","EM_Event_Session_vod__c","Item Created"
"1103E000000IPxqQAG","0PS3E0000000FeyWAE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","EM_Event_Speaker_vod__c","Item Created"
"1103E000000IPxvQAG","0PS3E0000000FeyWAE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","EM_Event_vod__c","Item Created"
"1103E000000IPy0QAG","0PS3E0000000FeyWAE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","EM_Expense_Estimate_vod__c","Item Created"
"1103E000000IPxXQAW","0PS3E0000000FeyWAE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","EM_Speaker_vod__c","Item Created"
"1103E000000IPy5QAG","0PS3E0000000FeyWAE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","EM_Vendor_vod__c","Item Created"
"1103E000000IPyAQAW","0PS3E0000000FeyWAE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","EM_Venue_vod__c","Item Created"
"1103E000000IPyFQAW","0PS3E0000000FeyWAE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","Expense_Header_vod__c","Item Created"
"1103E000000IPyKQAW","0PS3E0000000FeyWAE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","Expense_Line_vod__c","Item Created"
"1103E000000IPyPQAW","0PS3E0000000FeyWAE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","Expense_Type_vod__c","Item Created"
"1103E000000IPyUQAW","0PS3E0000000FeyWAE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","Metadata_Definition_vod__c","Item Created"
"1103E000000IPyZQAW","0PS3E0000000FeyWAE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","Metadata_Translation_vod__c","Item Created"
"1103E000000IPyeQAG","0PS3E0000000FeyWAE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","Company_Code_Details_HCPTS__c","Item Created"
"1103E000000IPyjQAG","0PS3E0000000FeyWAE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","Purchase_Org_Details_HCPTS__c","Item Created"
"1103E000000IPyfQAG","0PS3E0000000FeyWAE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","Cost_Center_Details_HCPTS__c","Item Created"
"1103E000000IPyoQAG","0PS3E0000000FeyWAE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","WBS_Details_HCPTS__c","Item Created"
"1103E000000IPytQAG","0PS3E0000000FeyWAE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","Plant_Code_Details_HCPTS__c","Item Created"
"1103E000000IPyyQAG","0PS3E0000000FeyWAE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","EM_Catalog_vod__c","Item Created"
