"ID","RECORDTYPEID","COUNTRY_OVERRIDE_VOD__C","EVENT_CONFIGURATION_VOD__C","EVENT_LAYOUT_VOD__C","EVENT_STATUS_VOD__C","EVENT_TEAM_ROLE_VOD__C","EXPENSE_ESTIMATE_LAYOUT_VOD__C","EXPENSE_HEADER_LAYOUT_VOD__C","EXPENSE_LINE_LAYOUT_VOD__C","EXTERNAL_ID__C","USER_PROFILE_ID_VOD__C","USER_PROFILE_VOD__C","VISIBLE_BUTTONS_VOD__C","EVENT_OBJECT_NAME_VOD__C","PAGE_LAYOUT_VOD__C","RECORD_TYPE_VOD__C","STATUS"
"a4d3E0000008QFxQAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Pre-Event","Organizer_vod","","","","","","","Delete;Edit","Expense_Line_vod","BMS Simple Expense Line Layout","Event_Expense_Line_vod","Item Created"
"a4d3E0000008QG2QAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","","","","","","8EPL -00000002779","","",";Delete;","EM_Event_Team_Member_vod","Simple Activity Team Member Layout","Activity_Team_Member_Simple_HCPTS","Item Created"
"a4d3E0000008QG7QAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","","Read Only","","","","EPL -0000000281","","","","EM_Event_Material_vod","Simple Material","","Item Created"
"a4d3E0000008QGCQA2","012d0000000XPG9AAO","","a4b3E00000001J3QAI","BMS_Simple_Read_Only","Post-Event","Read Only","","","","EPL -0000000258","","","","","","","Item Created"
"a4d3E0000008QGHQA2","012d0000000XPG9AAO","","a4b3E00000001J3QAI","BMS_Simple_Read_Only","Closed_vod","","","","","EPL -0000000266","00ed00000019hV7AAI","System Administrator",";Unlock_vod;","","","","Item Created"
"a4d3E0000008QGMQA2","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Pending_Approval_vod","","","","","EPL -00009909883","","","","EM_Expense_Estimate_vod","BMS Expense Estimate Simple Read Only","","Item Created"
"a4d3E0000008QGRQA2","012d0000000XPG9AAO","","a4b3E00000001J3QAI","BMS_Simple_ApprovedPostEvent","Approved_vod","","","","","EPL -0000000304","","",";Replan_BMS;PostEventPostApproval;Attendee_Reconciliation_vod;Manage_Attendees_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;","","","","Item Created"
"a4d3E0000008QGWQA2","012d0000000XPG9AAO","","a4b3E00000001J3QAI","BMS_Simple_PrePostEvent","Pre-Event","","","","","EPL -0000000255","","",";Edit;PostEvent;Attendee_Reconciliation_vod;Manage_Attendees_vod;Reschedule_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;Submit_for_Approval_vod;","","","","Item Created"
"a4d3E0000008QGNQA2","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Closed_vod","","","","","EPL -00000007766","","","","EM_Attendee_vod","BMS_HCPTS_Simple_Attendee_Layout","","Item Created"
"a4d3E0000008QGSQA2","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Pending_Approval_vod","","","","","EPL -000000099921","","","","Expense_Line_vod","BMS Simple Expense Line Readonly Layout","","Item Created"
"a4d3E0000008QGOQA2","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Pre-Event","Read Only","","","","EPL -00009989883","","","","EM_Expense_Estimate_vod","BMS Expense Estimate Simple Read Only","","Item Created"
"a4d3E0000008QGXQA2","012d0000000XPG9AAO","","a4b3E00000001J3QAI","BMS_Simple_Read_Only","Pending_Approval_vod","","","","","EPL -0000000287","","","","","","","Item Created"
"a4d3E0000008QGbQAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Approved_vod","","","","","EPL -0000000362","","","","EM_Event_Budget_vod","Simple WBSCC Budget Layout","WBS_CC_Simple_HCPTS","Item Created"
"a4d3E0000008QGcQAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Pending_Approval_vod","","","","","EPL -0000000297","","","","EM_Event_Speaker_vod","BMS Services Simplified Event Speaker Layout","","Item Created"
"a4d3E0000008QGgQAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Pending_Approval_vod","","","","","EPL -0000000299","","","","EM_Event_Team_Member_vod","Simple Activity Team Member Layout","Activity_Team_Member_Simple_HCPTS","Item Created"
"a4d3E0000008QGlQAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Post-Event","Read Only","","","","EPL -00000129881","","","","Expense_Header_vod","BMS Simple Expense Header ReadOnly Layout","","Item Created"
"a4d3E0000008QGqQAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Post-Event-PostApproval","Read Only","","","","EPL -0002212362","","","","Expense_Header_vod","BMS Simple Expense Header ReadOnly Layout","","Item Created"
"a4d3E0000008QGvQAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Post-Event-PostApproval","","","","","EPL -0000011362","","","","EM_Event_Budget_vod","Simple WBSCC Budget Layout","WBS_CC_Simple_HCPTS","Item Created"
"a4d3E0000008QH0QAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","","Read Only","","","","EPL -00000009992","","","","Expense_Line_vod","BMS Simple Expense Line Readonly Layout","Event_Expense_Line_vod","Item Created"
"a4d3E0000008QH5QAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Pending_Approval_vod","","","","","EPL -0000000296","","","","EM_Event_Budget_vod","Simple WBSCC Budget Layout","WBS_CC_Simple_HCPTS","Item Created"
"a4d3E0000008QGwQAM","012d0000000XPG9AAO","","a4b3E00000001J3QAI","BMS_Simple_ApprovedPostEvent","Post-Event-PostApproval","","","","","EPL -00000003044","","",";Replan_BMS;Close_vod;Attendee_Reconciliation_vod;Manage_Attendees_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;","","","","Item Created"
"a4d3E0000008QGhQAM","012d0000000XPG9AAO","","a4b3E00000001J3QAI","BMS_Simple_Read_Only","Post-Event-PostApproval","Read Only","","","","EPL -0000011304","","","","","","","Item Created"
"a4d3E0000008QHAQA2","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Post-Event-PostApproval","","","","","372","","",";Edit;Delete;","EM_Attendee_vod","BMS_HCPTS_Simple_Attendee_Layout","Simple_Attendee_HCPTS","Item Created"
"a4d3E0000008QHBQA2","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Closed_vod","","","","","EPL -00000009883","","","","EM_Expense_Estimate_vod","BMS Expense Estimate Simple Read Only","","Item Created"
"a4d3E0000008QHFQA2","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Approved_vod","Read Only","","","","EPL -00000007299","","","","EM_Attendee_vod","BMS_HCPTS_Simple_Attendee_Layout","Simple_Attendee_HCPTS","Item Created"
"a4d3E0000008QGrQAM","012d0000000XPG9AAO","","a4b3E00000001J3QAI","BMS_Simple_Read_Only","Closed_vod","Service Coordinator","","","","EPL -0000000265","","",";Unlock_vod;","","","","Item Created"
"a4d3E0000008QHKQA2","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Post-Event-PostApproval","","","","","EPL -00000007500","","","","EM_Attendee_vod","BMS_HCPTS_Simple_Attendee_Layout","","Item Created"
"a4d3E0000008QHPQA2","01258000000QJVOAA4","","a4b3E00000001J3QAI","","","Read Only","","","","EPL -0000000269","","","","EM_Attendee_vod","BMS_HCPTS_Simple_Attendee_Layout","","Item Created"
"a4d3E0000008QHUQA2","01258000000QJVOAA4","","a4b3E00000001J3QAI","","","Read Only","","","","EPL -0000000279","","","","EM_Event_Speaker_vod","BMS Services Simplified Event Speaker Layout","","Item Created"
"a4d3E0000008QHZQA2","01258000000QJVOAA4","","a4b3E00000001J3QAI","","","","","","","EPL -0000000999","","",";Delete;","EM_Event_Budget_vod","Simple WBSCC Budget Layout","WBS_CC_Simple_HCPTS","Item Created"
"a4d3E0000008QG8QAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Pre-Event","Read Only","","","","EPL -00000002966","","","","EM_Event_Budget_vod","Simple WBSCC Budget Layout","WBS_CC_Simple_HCPTS","Item Created"
"a4d3E0000008QHeQAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Approved_vod","Read Only","","","","EPL -0000022362","","","","Expense_Line_vod","BMS Simple Expense Line Readonly Layout","","Item Created"
"a4d3E0000008QHjQAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Approved_vod","Read Only","","","","EPL -00000102779","","","","EM_Event_Team_Member_vod","Simple Activity Team Member Layout","Activity_Team_Member_Simple_HCPTS","Item Created"
"a4d3E0000008QHoQAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Approved_vod","","","","","EPL -0000002362","","",";Edit;Delete;","Expense_Header_vod","BMS Event Speaker Expense Header Layout","","Item Created"
"a4d3E0000008QG9QAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Post-Event","Read Only","","","","EPL -00000002967","","","","EM_Event_Budget_vod","Simple WBSCC Budget Layout","WBS_CC_Simple_HCPTS","Item Created"
"a4d3E0000008QHtQAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Post-Event-PostApproval","","","","","EPL -0000121362","","","","EM_Expense_Estimate_vod","BMS Expense Estimate Simple Read Only","","Item Created"
"a4d3E0000008QHyQAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Closed_vod","","","","","EPL -0000000273","","","","EM_Event_Material_vod","Simple Material","","Item Created"
"a4d3E0000008QI3QAM","012d0000000XPG9AAO","","a4b3E00000001J3QAI","BMS_Simple_PrePostEvent","Pending_Approval_vod","","","","","EPL -0000000291","00ed00000019hV7AAI","System Administrator",";Recall_Approval_Request_vod;","","","","Item Created"
"a4d3E0000008QHLQA2","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Pending_Approval_vod","","","","","EPL -00000003001","","","","EM_Event_Material_vod","Simple Material","","Item Created"
"a4d3E0000008QHfQAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Pending_Approval_vod","","","","","EPL -00000009991","","","","Expense_Header_vod","BMS Simple Expense Header ReadOnly Layout","","Item Created"
"a4d3E0000008QI8QAM","012d0000000XPG9AAO","","a4b3E00000001J3QAI","BMS_Simple_Read_Only","Canceled_vod","","","","","EPL -000000030922","","","","","","","Item Created"
"a4d3E0000008QIDQA2","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Post-Event","Read Only","","","","EPL -00000129993","","","","EM_Expense_Estimate_vod","BMS Expense Estimate Simple Read Only","","Item Created"
"a4d3E0000008QIIQA2","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Approved_vod","Read Only","","","","EPL -0000012362","","","","Expense_Header_vod","BMS Simple Expense Header ReadOnly Layout","","Item Created"
"a4d3E0000008QIEQA2","01258000000QJVOAA4","","a4b3E00000001J3QAI","","","","","","","EPL -00000007211","","","Delete;Edit","EM_Event_Material_vod","Simple Material","Simple_Material_HCPTS","Item Created"
"a4d3E0000008QGAQA2","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Post-Event","Read Only","","","","EPL -00000002779","","","","EM_Event_Team_Member_vod","Simple Activity Team Member Layout","Activity_Team_Member_Simple_HCPTS","Item Created"
"a4d3E0000008QINQA2","012d0000000XPG9AAO","","a4b3E00000001J3QAI","BMS_Simple_Read_Only","Pre-Event","Read Only","","","","EPL -0000000249","","","","","","","Item Created"
"a4d3E0000008QHVQA2","012d0000000XPG9AAO","","a4b3E00000001J3QAI","BMS_Simple_Read_Only","Pending_Approval_vod","Service Coordinator","","","","EPL -0000000310","","",";Recall_Approval_Request_vod;","","","","Item Created"
"a4d3E0000008QISQA2","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Post-Event","Read Only","","","","EPL -00000019992","","","","Expense_Line_vod","BMS Simple Expense Line Readonly Layout","","Item Created"
"a4d3E0000008QGIQA2","012d0000000XPG9AAO","","a4b3E00000001J3QAI","BMS_Simple_Read_Only","Pre-Event","Approver_vod","","","","EPL -0000033249","","","","","","","Item Created"
"a4d3E0000008QIXQA2","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Post-Event-PostApproval","","","","","EPL -00013212362","","",";Edit;Delete;","Expense_Header_vod","BMS Event Speaker Expense Header Layout","","Item Created"
"a4d3E0000008QIcQAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Approved_vod","","","","","EPL -00000007699","","",";Edit;Delete;","EM_Attendee_vod","BMS_HCPTS_Simple_Attendee_Layout","Simple_Attendee_HCPTS","Item Created"
"a4d3E0000008QIhQAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Post-Event-PostApproval","Read Only","","","","376","","","","EM_Attendee_vod","BMS_HCPTS_Simple_Attendee_Layout","Simple_Attendee_HCPTS","Item Created"
"a4d3E0000008QImQAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","","Read Only","","","","EPL -00000009993","","","","EM_Expense_Estimate_vod","BMS Expense Estimate Simple Read Only","","Item Created"
"a4d3E0000008QIOQA2","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Approved_vod","","","","","EPL -0000001362","","","","EM_Expense_Estimate_vod","BMS Expense Estimate Simple Read Only","","Item Created"
"a4d3E0000008QIrQAM","012d0000000XPG9AAO","","a4b3E00000001J3QAI","BMS_Simple_Read_Only","Closed_vod","","","","","EPL -0000000264","","","","","","","Item Created"
"a4d3E0000008QIwQAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Closed_vod","","","","","EPL -0000000271","","","","EM_Event_Speaker_vod","BMS Services Simplified Event Speaker Layout","","Item Created"
"a4d3E0000008QJ1QAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Closed_vod","","","","","EPL -0000000272","","","","EM_Event_Team_Member_vod","Simple Activity Team Member Layout","Activity_Team_Member_Simple_HCPTS","Item Created"
"a4d3E0000008QJ6QAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Pre-Event","Read Only","","","","EPL -00000002778","","","","EM_Event_Team_Member_vod","Simple Activity Team Member Layout","Activity_Team_Member_Simple_HCPTS","Item Created"
"a4d3E0000008QIJQA2","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Post-Event-PostApproval","Read Only","","","","EPL -002343102779","","","","EM_Event_Team_Member_vod","Simple Activity Team Member Layout","Activity_Team_Member_Simple_HCPTS","Item Created"
"a4d3E0000008QJ7QAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Pending_Approval_vod","","","","","EPL -00000007800","","","","EM_Attendee_vod","BMS_HCPTS_Simple_Attendee_Layout","","Item Created"
"a4d3E0000008QJBQA2","012d0000000XPG9AAO","","a4b3E00000001J3QAI","BMS_Simple_Read_Only","Pending_Approval_vod","Approver_vod","","","","EPL -0000000312","","",";Approve_vod;Reject_vod;","","","","Item Created"
"a4d3E0000008QJGQA2","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Post-Event-PostApproval","Read Only","","","","EPL -03322362","","","","Expense_Line_vod","BMS Simple Expense Line Readonly Layout","","Item Created"
"a4d3E0000008QJLQA2","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Pre-Event","Read Only","","","","EPL -00000008891","","","","Expense_Header_vod","BMS Simple Expense Header ReadOnly Layout","","Item Created"
"a4d3E0000008QJQQA2","012d0000000XPG9AAO","","a4b3E00000001J3QAI","BMS_Simple_PrePostEvent","Post-Event","","","","","EPL -0000000261","","",";Edit;Close_vod;Attendee_Reconciliation_vod;Manage_Attendees_vod;Reschedule_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;Submit_for_Approval_vod;","","","","Item Created"
"a4d3E0000008QJVQA2","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Closed_vod","","","","","EPL -00000008892","","","","Expense_Line_vod","BMS Simple Expense Line Readonly Layout","","Item Created"
"a4d3E0000008QFyQAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Closed_vod","","","","","EPL -0000000270","","","","EM_Event_Budget_vod","Simple WBSCC Budget Layout","WBS_CC_Simple_HCPTS","Item Created"
"a4d3E0000008QJaQAM","012d0000000XPG9AAO","","a4b3E00000001J3QAI","BMS_Simple_Read_Only","Pending_Approval_vod","Organizer_vod","","","","EPL -0000000309","","",";Recall_Approval_Request_vod;","","","","Item Created"
"a4d3E0000008QIiQAM","012d0000000XPG9AAO","","a4b3E00000001J3QAI","BMS_Simple_Read_Only","Approved_vod","Read Only","","","","EPL -0000001304","","","","","","","Item Created"
"a4d3E0000008QHzQAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Closed_vod","","","","","EPL -00000009881","","","","Expense_Header_vod","BMS Simple Expense Header ReadOnly Layout","","Item Created"
"a4d3E0000008QJfQAM","01258000000QJVOAA4","","a4b3E00000001J3QAI","","Pre-Event","Read Only","","","","EPL -000000889921","","","","Expense_Line_vod","BMS Simple Expense Line Readonly Layout","Event_Expense_Line_vod","Item Created"
