ID,RECORDTYPEID,COUNTRY_OVERRIDE_VOD__C,EVENT_CONFIGURATION_VOD__C,EVENT_LAYOUT_VOD__C,EVENT_STATUS_VOD__C,EVENT_TEAM_ROLE_VOD__C,EXPENSE_ESTIMATE_LAYOUT_VOD__C,EXPENSE_HEADER_LAYOUT_VOD__C,EXPENSE_LINE_LAYOUT_VOD__C,EXTERNAL_ID__C,USER_PROFILE_ID_VOD__C,USER_PROFILE_VOD__C,VISIBLE_BUTTONS_VOD__C,EVENT_OBJECT_NAME_VOD__C,PAGE_LAYOUT_VOD__C,RECORD_TYPE_VOD__C
a4d3E00000002BHQAY,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Post-Event,Read Only,,,,EPL -00000019992,,,,Expense_Line_vod,BMS Simple Expense Line Readonly Layout,
a4d3E000000025iQAA,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Pre-Event,Read Only,,,,EPL -00000002778,,,,EM_Event_Team_Member_vod,Simple Activity Team Member Layout,Activity_Team_Member_Simple_HCPTS
a4d3E000000027tQAA,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Post-Event,Read Only,,,,EPL -0000000359,,,,EM_Event_Team_Member_vod,Simple Activity Team Member Layout,Activity_Team_Member_Simple_HCPTS
a4d3E000000029BQAQ,012d0000000XPG9AAO,,a4b3E00000001J3QAI,BMS_Simple_Read_Only,Pre-Event,Approver_vod,,,,EPL -0000033249,,,,,,
a4d3E00000002AYQAY,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Post-Event-PostApproval,Read Only,,,,EPL -0000000376,,,,EM_Attendee_vod,BMS_HCPTS_Simple_Attendee_Layout,Simple_Attendee_HCPTS
a4d3E00000002JWQAY,01258000000QJVOAA4,,a4b3E00000001J3QAI,,,,,,,EPL -0000000417,,,Delete;Edit,EM_Event_Material_vod,Simple Material,Simple_Material_HCPTS
a4d3E00000002AdQAI,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Post-Event-PostApproval,Read Only,,,,EPL -0002212362,,,,Expense_Header_vod,BMS Simple Expense Header ReadOnly Layout,
a4d3E000000028DQAQ,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Closed_vod,,,,,EPL -00000008892,,,,Expense_Line_vod,BMS Simple Expense Line Readonly Layout,
a4d3E000000027jQAA,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Post-Event,Read Only,,,,EPL -00000002967,,,,EM_Event_Budget_vod,Simple WBSCC Budget Layout,WBS_CC_Simple_HCPTS
a4d3E00000002AOQAY,01258000000QJVOAA4,,a4b3E00000001J3QAI,,Post-Event-PostApproval,,,,,EPL -0000121362,,,,EM_Expense_Estimate_vod,BMS Expense Estimate Simple Read Only,
