"ID","OWNERID","ISDELETED","NAME","RECORDTYPEID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","MAYEDIT","ISLOCKED","LASTVIEWEDDATE","LASTREFERENCEDDATE","COUNTRY_OVERRIDE_VOD__C","EVENT_CONFIGURATION_VOD__C","EVENT_LAYOUT_VOD__C","EVENT_STATUS_VOD__C","EVENT_TEAM_ROLE_VOD__C","EXPENSE_ESTIMATE_LAYOUT_VOD__C","EXPENSE_HEADER_LAYOUT_VOD__C","EXPENSE_LINE_LAYOUT_VOD__C","EXTERNAL_ID__C","USER_PROFILE_ID_VOD__C","USER_PROFILE_VOD__C","VISIBLE_BUTTONS_VOD__C","EVENT_OBJECT_NAME_VOD__C","PAGE_LAYOUT_VOD__C","RECORD_TYPE_VOD__C"
"a4d5E00000002l3QAA","00558000001PGYZAA4","false","EPL -0000000787","01258000000QJVOAA4","2017-05-21T15:19:11.000Z","00558000001PGYZAA4","2017-05-21T15:22:21.000Z","00558000001PGYZAA4","2017-05-22T10:30:15.000Z","true","false","2017-05-21T15:22:21.000Z","2017-05-21T15:22:21.000Z","","a4b5E000000025TQAQ","","Pre-Event","Organizer_vod","","","","","","","Delete;Edit","Expense_Line_vod","BMS Simple Expense Line Layout","Event_Expense_Line_vod"
"a4d5E0000008dJmQAI","00558000001PGYZAA4","false","EPL -0000000755","01258000000QJVOAA4","2017-04-13T13:06:48.000Z","00558000001PGYZAA4","2017-04-13T13:06:48.000Z","00558000001PGYZAA4","2017-05-20T10:31:14.000Z","true","false","2017-04-26T14:58:10.000Z","2017-04-26T14:58:10.000Z","","a4b5E000000025TQAQ","","","","","","","8EPL -00000002779","","",";Delete;","EM_Event_Team_Member_vod","Simple Activity Team Member Layout","Activity_Team_Member_Simple_HCPTS"
"a4d5E0000008dJnQAI","00558000001PGYZAA4","false","EPL -0000000781","01258000000QJVOAA4","2017-04-13T13:07:13.000Z","00558000001PGYZAA4","2017-04-13T13:07:13.000Z","00558000001PGYZAA4","2017-04-13T13:07:13.000Z","true","false","","","","a4b5E000000025TQAQ","","","Read Only","","","","EPL -0000000281","","","","EM_Event_Material_vod","Simple Material",""
"a4d5E0000008dJ3QAI","00558000001PGYZAA4","false","EPL -0000000746","012d0000000XPG9AAO","2017-04-13T13:06:40.000Z","00558000001PGYZAA4","2017-05-11T22:27:39.000Z","00558000001PGYZAA4","2017-05-19T10:31:09.000Z","true","false","2017-05-18T20:37:14.000Z","2017-05-18T20:37:14.000Z","","a4b5E000000025TQAQ","BMS_Simple_Read_Only","Post-Event","Read Only","","","","EPL -0000000258","","","","","",""
"a4d5E0000008dJ4QAI","00558000001PGYZAA4","false","EPL -0000000779","012d0000000XPG9AAO","2017-04-13T13:07:11.000Z","00558000001PGYZAA4","2017-05-18T21:11:22.000Z","00558000001PGYZAA4","2017-05-18T21:11:22.000Z","true","false","2017-05-18T21:11:22.000Z","2017-05-18T21:11:22.000Z","","a4b5E000000025TQAQ","BMS_Simple_Read_Only","Closed_vod","","","","","EPL -0000000266","00ed00000019hV7AAI","System Administrator",";Unlock_vod;","","",""
"a4d5E0000008dKLQAY","00558000001PGYZAA4","false","EPL -0000000764","01258000000QJVOAA4","2017-04-13T13:06:57.000Z","00558000001PGYZAA4","2017-04-13T13:06:57.000Z","00558000001PGYZAA4","2017-04-13T13:06:57.000Z","true","false","","","","a4b5E000000025TQAQ","","Pending_Approval_vod","","","","","EPL -00009909883","","","","EM_Expense_Estimate_vod","BMS Expense Estimate Simple Read Only",""
"a4d5E0000008dItQAI","00558000001PGYZAA4","false","EPL -0000000744","012d0000000XPG9AAO","2017-04-13T13:06:38.000Z","00558000001PGYZAA4","2017-04-13T13:06:38.000Z","00558000001PGYZAA4","2017-05-12T10:32:27.000Z","true","false","2017-05-11T22:49:17.000Z","2017-05-11T22:49:17.000Z","","a4b5E000000025TQAQ","BMS_Simple_ApprovedPostEvent","Approved_vod","","","","","EPL -0000000304","","",";Replan_BMS;PostEventPostApproval;Attendee_Reconciliation_vod;Manage_Attendees_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;","","",""
"a4d5E0000008dKpQAI","00558000001PGYZAA4","false","EPL -0000000772","012d0000000XPG9AAO","2017-04-13T13:07:04.000Z","00558000001PGYZAA4","2017-05-18T20:54:21.000Z","00558000001PGYZAA4","2017-05-22T10:30:15.000Z","true","false","2017-05-21T14:30:39.000Z","2017-05-21T14:30:39.000Z","","a4b5E000000025TQAQ","BMS_Simple_PrePostEvent","Pre-Event","","","","","EPL -0000000255","","",";Edit;PostEvent;Attendee_Reconciliation_vod;Manage_Attendees_vod;Reschedule_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;Submit_for_Approval_vod;","","",""
"a4d5E0000008dKzQAI","00558000001PGYZAA4","false","EPL -0000000776","01258000000QJVOAA4","2017-04-13T13:07:08.000Z","00558000001PGYZAA4","2017-04-26T21:23:00.000Z","0055E000000ulR7QAI","2017-04-27T10:32:04.000Z","true","false","","","","a4b5E000000025TQAQ","","Closed_vod","","","","","EPL -00000007766","","","","EM_Attendee_vod","BMS_HCPTS_Simple_Attendee_Layout",""
"a4d5E0000008dK1QAI","00558000001PGYZAA4","false","EPL -0000000758","01258000000QJVOAA4","2017-04-13T13:06:51.000Z","00558000001PGYZAA4","2017-04-13T13:06:51.000Z","00558000001PGYZAA4","2017-04-13T13:06:51.000Z","true","false","","","","a4b5E000000025TQAQ","","Pending_Approval_vod","","","","","EPL -000000099921","","","","Expense_Line_vod","BMS Simple Expense Line Readonly Layout",""
"a4d5E0000008dK2QAI","00558000001PGYZAA4","false","EPL -0000000760","01258000000QJVOAA4","2017-04-13T13:06:53.000Z","00558000001PGYZAA4","2017-04-13T13:06:53.000Z","00558000001PGYZAA4","2017-04-13T13:06:53.000Z","true","false","","","","a4b5E000000025TQAQ","","Pre-Event","Read Only","","","","EPL -00009989883","","","","EM_Expense_Estimate_vod","BMS Expense Estimate Simple Read Only",""
"a4d5E0000008dJIQAY","00558000001PGYZAA4","false","EPL -0000000749","012d0000000XPG9AAO","2017-04-13T13:06:42.000Z","00558000001PGYZAA4","2017-05-18T21:11:18.000Z","00558000001PGYZAA4","2017-05-18T21:11:18.000Z","true","false","2017-05-18T21:11:18.000Z","2017-05-18T21:11:18.000Z","","a4b5E000000025TQAQ","BMS_Simple_Read_Only","Pending_Approval_vod","","","","","EPL -0000000287","","","","","",""
"a4d5E0000008dKBQAY","00558000001PGYZAA4","false","EPL -0000000761","01258000000QJVOAA4","2017-04-13T13:06:54.000Z","00558000001PGYZAA4","2017-04-13T13:06:54.000Z","00558000001PGYZAA4","2017-04-13T13:06:54.000Z","true","false","","","","a4b5E000000025TQAQ","","Approved_vod","","","","","EPL -0000000362","","","","EM_Event_Budget_vod","Simple WBSCC Budget Layout","WBS_CC_Simple_HCPTS"
"a4d5E0000008dJJQAY","00558000001PGYZAA4","false","EPL -0000000767","01258000000QJVOAA4","2017-04-13T13:07:00.000Z","00558000001PGYZAA4","2017-04-13T13:07:00.000Z","00558000001PGYZAA4","2017-04-13T13:07:00.000Z","true","false","","","","a4b5E000000025TQAQ","","Pending_Approval_vod","","","","","EPL -0000000297","","","","EM_Event_Speaker_vod","BMS Services Simplified Event Speaker Layout",""
