Id,Allow_Comments_vod__c,Approver_Role_vod__c,Button_Name_vod__c,Country_Override_vod__c,Ending_Status_vod__c,Entry_Criteria_Not_Met_Message_vod__c,Event_Configuration_vod__c,External_ID_vod__c,Name,RecordTypeId,SFDC_Action_Type_vod__c,Starting_Status_vod__c,SystemModstamp
a4WZ0000000I8WnMAK,1,"",Replan_BMS,"",Pre-Event,"",a4ZZ0000000QmFkMAK,"",EA -0000000729,012Z00000000oM2IAI,"",Approved_vod,2017-01-28T11:31:18.000Z
a4WZ0000000I8WqMAK,1,"",PostEvent,"",Post-Event,"",a4ZZ0000000QmFkMAK,"",EA -0000000732,012Z00000000oM2IAI,"",Approved_vod,2017-01-27T12:18:17.000Z
a4WZ0000000I8WrMAK,1,"",Close_vod,"",Closed_vod,"",a4ZZ0000000QmFkMAK,"",EA -0000000733,012Z00000000oM2IAI,"",Post-Event,2016-12-31T11:37:07.000Z
a4WZ0000000I8WsMAK,1,"",PostEvent,"",Post-Event,"",a4ZZ0000000QmFkMAK,"",EA -0000000734,012Z00000000oM2IAI,"",Pre-Event,2017-01-27T12:18:17.000Z
a4WZ0000000I8WuMAK,1,"",Reschedule_vod,"",Pre-Event,"",a4ZZ0000000QmFkMAK,"",EA -0000000736,012Z00000000oM2IAI,"",Pre-Event,2016-12-31T11:37:07.000Z
a4WZ0000000I8WvMAK,1,"",Reschedule_vod,"",Pre-Event,"",a4ZZ0000000QmFkMAK,"",EA -0000000737,012Z00000000oM2IAI,"",Approved_vod,2016-12-31T11:37:07.000Z
a4WZ0000000I8WxMAK,1,"",Cancel_Event_vod,"",Canceled_vod,"",a4ZZ0000000QmFkMAK,"",EA -0000000739,012Z00000000oM2IAI,"",Pre-Event,2016-12-31T11:37:07.000Z
a4WZ0000000I8WyMAK,1,"",Cancel_Event_vod,"",Canceled_vod,"",a4ZZ0000000QmFkMAK,"",EA -0000000740,012Z00000000oM2IAI,"",Approved_vod,2016-12-31T11:37:07.000Z
a4WZ0000000I8X0MAK,1,"",Unlock_vod,"",Post-Event,"",a4ZZ0000000QmFkMAK,"",EA -0000000742,012Z00000000oM2IAI,"",Closed_vod,2016-12-31T11:37:07.000Z
a4WZ0000000I8X2MAK,1,"",Cancel_Event_vod,"",Canceled_vod,"",a4ZZ0000000QmFkMAK,"",EA -0000000744,012Z00000000oM2IAI,"",Post-Event,2016-12-31T11:37:07.000Z
a4WZ0000000I8X5MAK,1,"",Replan_BMS,"",Pre-Event,"",a4ZZ0000000QmFkMAK,"",EA -0000000747,012Z00000000oM2IAI,"",Post-Event,2016-12-31T11:37:07.000Z
a4WZ0000000I8X6MAK,1,"",Submit_for_Approval_vod,a4YZ0000000FTlKMAW,Pending_Approval_vod,"",a4ZZ0000000QmFkMAK,"",EA -0000000748,012Z00000000oM2IAI,"",Pre-Event,2017-01-28T11:31:18.000Z
a4WZ0000000I8X7MAK,1,"",Approve_vod,a4YZ0000000FTlKMAW,Approved_vod,"",a4ZZ0000000QmFkMAK,"",EA -0000000749,012Z00000000oM2IAI,"",Pending_Approval_vod,2017-01-31T11:31:13.000Z
a4WZ0000000I8X8MAK,1,"",Reject_vod,a4YZ0000000FTlKMAW,Pre-Event,"",a4ZZ0000000QmFkMAK,"",EA -0000000750,012Z00000000oM2IAI,"",Pending_Approval_vod,2017-01-27T12:18:18.000Z
a4WZ0000000I8ibMAC,1,"",Recall_BMS,a4YZ0000000FTlKMAW,Pre-Event,"",a4ZZ0000000QmFkMAK,EC -0000000053EARecall,EA -0000000751,012Z00000000oM2IAI,"",Pending_Approval_vod,2017-02-02T11:31:09.000Z
a4WZ0000000I8igMAC,1,Approver_vod,Submit_for_SFDC_Approval,a4YZ0000000FTlKMAW,SFDC,BMS_EM_APPROVAL_CRITERIA_MESSAGE;;EVENT_MANAGEMENT_BMS,a4ZZ0000000QmFkMAK,"",EA -0000000752,012Z00000000oM2IAI,Submit_Manual_vod,Pre-Event,2017-01-28T11:31:18.000Z
a4WZ0000000I8iqMAC,1,"",Recall_Approval_Request_vod,a4YZ0000000FTlKMAW,SFDC,"",a4ZZ0000000QmFkMAK,Recall_SFDC-EC -0000000053-Pending_Approval_vod-SFDC,EA -0000000754,012Z00000000oM2IAI,Recall_Approval_Request_vod,Pending_Approval_vod,2017-02-02T11:31:09.000Z
a4WZ0000000I8ivMAC,1,"",Reject_SFDC,a4YZ0000000FTlKMAW,SFDC,"",a4ZZ0000000QmFkMAK,Reject_SFDC-EC -0000000053-Pending_Approval_vod-SFDC,EA -0000000755,012Z00000000oM2IAI,Reject_vod,Pending_Approval_vod,2017-02-02T11:31:09.000Z
a4WZ0000000I8j0MAC,1,"",Approve_SFDC,a4YZ0000000FTlKMAW,SFDC,"",a4ZZ0000000QmFkMAK,Approve_SFDCPending_Approval_vodEC -0000000053ECC -0000000138,EA -0000000756,012Z00000000oM2IAI,Approve_vod,Pending_Approval_vod,2017-01-31T11:31:13.000Z
