Id,Country_Override_vod__c,Event_Configuration_vod__c,Event_Status_vod__c,Event_Layout_vod__c,Event_Object_Name_vod__c,,Event_Team_Role_vod__c,Expense_Estimate_Layout_vod__c,Expense_Header_Layout_vod__c,Expense_Line_Layout_vod__c,External_ID__c,Page_Layout_vod__c,RecordTypeId,Record_Type_vod__c,SystemModstamp,User_Profile_Id_vod__c,User_Profile_vod__c,Visible_Buttons_vod__c
a4bZ0000000brsmIAA,,a4ZZ0000000QmFkMAK,Pending_Approval_vod,,EM_Event_Budget_vod,,,,,,,Event Budget Layout,012Z00000005CXUIA2,Event_Budget_vod,2017-01-28T11:31:18.000Z,,,
a4bZ0000000brsrIAA,,a4ZZ0000000QmFkMAK,Pending_Approval_vod,,EM_Event_Speaker_vod,,,,,,,BMS Services Simplified Event Speaker Layout,012Z00000005CXUIA2,Simplified_Event_Speaker_HCPTS,2017-01-28T11:31:18.000Z,,,
a4bZ0000000brswIAA,,a4ZZ0000000QmFkMAK,Pending_Approval_vod,,EM_Event_Material_vod,,,,,,,Materials Layout,012Z00000005CXUIA2,Material_HCPTS,2017-01-28T11:31:18.000Z,,,
a4bZ0000000brt1IAA,,a4ZZ0000000QmFkMAK,Pending_Approval_vod,,EM_Expense_Estimate_vod,,,,,,,BMS Expense Estimate Layout,012Z00000005CXUIA2,Expense_Estimate_vod,2017-01-28T11:31:18.000Z,,,
a4bZ0000000brt6IAA,,a4ZZ0000000QmFkMAK,Pending_Approval_vod,,Expense_Header_vod,,,,,,,BMS Expense Header Layout,012Z00000005CXUIA2,Event_Expense_Header_vod,2017-01-28T11:31:18.000Z,,,
a4bZ0000000brshIAA,,a4ZZ0000000QmFkMAK,Pending_Approval_vod,,EM_Attendee_vod,,,,,,,BMS_HCPTS_Attendee_Layout,012Z00000005CXUIA2,Attendee_vod,2017-01-28T11:31:18.000Z,,,
a4bZ0000000brtBIAQ,,a4ZZ0000000QmFkMAK,Pending_Approval_vod,,EM_Event_Team_Member_vod,,,,,,,Event Team Member Layout,012Z00000005CXUIA2,Event_Team_Member_vod,2017-02-02T11:31:09.000Z,,,
a4bZ0000000brtGIAQ,a4YZ0000000FTlKMAW,a4ZZ0000000QmFkMAK,Pre-Event,BMS_Simple_Read_Only,,,,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2017-02-02T11:31:09.000Z,,,
a4bZ0000000brtLIAQ,a4YZ0000000FTlKMAW,a4ZZ0000000QmFkMAK,Post-Event,BMS_Simple_Read_Only,,,Approver_vod,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2017-02-02T11:31:09.000Z,,,
a4bZ0000000brtQIAQ,a4YZ0000000FTlKMAW,a4ZZ0000000QmFkMAK,Approved_vod,BMS_Simple_Read_Only,,,Approver_vod,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2017-02-02T11:31:09.000Z,,,
a4bZ0000000brtRIAQ,a4YZ0000000FTlKMAW,a4ZZ0000000QmFkMAK,Closed_vod,BMS_Simple_Read_Only,,,Approver_vod,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2017-02-02T11:31:09.000Z,,,
a4bZ0000000brtVIAQ,,a4ZZ0000000QmFkMAK,,,EM_Event_Team_Member_vod,,Approver_vod,,,,,Event Team Member Layout,012Z00000005CXUIA2,Event_Team_Member_vod,2017-02-02T11:31:09.000Z,,,
a4bZ0000000brrqIAA,,a4ZZ0000000QmFkMAK,Pre-Event,BMS_Simple_SysAdmin,,,,BMS Expense Estimate Layout,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2017-01-30T15:59:49.000Z,00eZ0000000QUueIAG,BMS - EMEA - ES - HCP Lead,;Edit;Reschedule_vod;Cancel_Event_vod;PostEvent;View_Signatures_vod;Generate_Sign_In_vod;Generate_Invitations_vod;
a4bZ0000000brrrIAA,,a4ZZ0000000QmFkMAK,Post-Event,BMS_Simple_SysAdmin,,,,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2016-12-31T12:56:40.000Z,00eZ0000000QUueIAG,BMS - EMEA - ES - HCP Lead,;Edit;Cancel_Event_vod; Replan_BMS;Close_vod;View_Signatures_vod;Generate_Sign_In_vod;Generate_Invitations_vod;
a4bZ0000000brrsIAA,,a4ZZ0000000QmFkMAK,Closed_vod,BMS_Simple_SysAdmin,,,,BMS Expense Estimate Layout,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2016-12-31T12:56:40.000Z,00eZ0000000QUueIAG,BMS - EMEA - ES - HCP Lead,;Unlock_vod;
a4bZ0000000brrtIAA,UK,a4ZZ0000000QmFkMAK,Pre-Event,BMS_Simple_PreEvent,,,Organizer_vod,BMS Expense Estimate Layout,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2017-02-04T11:31:29.000Z,,,;Edit;Delete;Reschedule_vod;Cancel_Event_vod;PostEvent;View_Signatures_vod;Attendee_Reconciliation_vod;Manage_Attendees_vod;
a4bZ0000000brruIAA,,a4ZZ0000000QmFkMAK,Canceled_vod,BMS_Simple_Read_Only,,,,,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2017-01-01T11:30:31.000Z,,,
a4bZ0000000brrvIAA,,a4ZZ0000000QmFkMAK,Closed_vod,BMS_Simple_Read_Only,,,,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2016-12-31T12:56:41.000Z,,,
a4bZ0000000brrwIAA,,a4ZZ0000000QmFkMAK,Post-Event,BMS_Simple_Read_Only,,,,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2016-12-31T12:56:42.000Z,,,
a4bZ0000000brrxIAA,,a4ZZ0000000QmFkMAK,Pre-Event,BMS_Simple_PreEvent,,,Organizer_vod,BMS Expense Estimate Layout,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2017-02-04T11:31:29.000Z,,,;Edit;Delete;Reschedule_vod;Cancel_Event_vod;PostEvent;View_Signatures_vod;Generate_Invitations_vod;Generate_Sign_In_vod;Manage_Attendees_vod;
a4bZ0000000brryIAA,,a4ZZ0000000QmFkMAK,Pre-Event,BMS_Simple_SysAdmin,,,,BMS Expense Estimate Layout,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2017-01-30T15:59:52.000Z,00ed00000019hV7AAI,System Administrator,;Edit;Delete;Reschedule_vod;Cancel_Event_vod;PostEvent;View_Signatures_vod;Generate_Sign_In_vod;Generate_Invitations_vod;
a4bZ0000000brrzIAA,,a4ZZ0000000QmFkMAK,Post-Event,BMS_Simple_SysAdmin,,,,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2017-01-28T11:31:18.000Z,00ed00000019hV7AAI,System Administrator,;Edit;Cancel_Event_vod; Replan_BMS;Close_vod;View_Signatures_vod;Generate_Sign_In_vod;Generate_Invitations_vod;
a4bZ0000000brs0IAA,,a4ZZ0000000QmFkMAK,Closed_vod,BMS_Simple_SysAdmin,,,,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2016-12-31T12:56:43.000Z,00ed00000019hV7AAI,System Administrator,;Unlock_vod;
a4bZ0000000brs1IAA,,a4ZZ0000000QmFkMAK,Post-Event,BMS_Simple_PostEvent,,,Organizer_vod,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2017-01-10T11:31:11.000Z,,,;Edit;Cancel_Event_vod; Replan_BMS;Close_vod;View_Signatures_vod;Generate_Sign_In_vod;Generate_Invitations_vod;Manage_Attendees_vod;Attendee_Reconciliation_vod;
a4bZ0000000brs2IAA,,a4ZZ0000000QmFkMAK,Closed_vod,BMS_Simple_Read_Only,,,Organizer_vod,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2016-12-31T12:56:43.000Z,,,
a4bZ0000000brs3IAA,UK,a4ZZ0000000QmFkMAK,Pre-Event,BMS_Simple_PreEvent,,,Service Coordinator,BMS Expense Estimate Layout,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2016-12-31T12:56:44.000Z,,,;Edit;Delete;Reschedule_vod;Cancel_Event_vod;Closeout_BMS;View_Signatures_vod;Attendee_Reconciliation_vod;
a4bZ0000000brs4IAA,,a4ZZ0000000QmFkMAK,Post-Event,BMS_Simple_PostEvent,,,Service Coordinator,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2016-12-31T12:56:44.000Z,,,;Edit;Cancel_Event_vod; Replan_BMS;Close_vod;View_Signatures_vod;Generate_Sign_In_vod;Generate_Invitations_vod;
a4bZ0000000brs5IAA,,a4ZZ0000000QmFkMAK,Pre-Event,,EM_Event_Speaker_vod,,Organizer_vod,,,,,BMS Services Simplified Event Speaker Layout,012Z00000005CXUIA2,Simplified_Event_Speaker_HCPTS,2017-02-04T11:31:29.000Z,,,;Edit;Delete;
a4bZ0000000brs6IAA,,a4ZZ0000000QmFkMAK,Post-Event,,EM_Event_Speaker_vod,,,,,,,BMS Services Simplified Event Speaker Layout,012Z00000005CXUIA2,Simplified_Event_Speaker_HCPTS,2017-01-04T11:31:05.000Z,,,
a4bZ0000000brs7IAA,,a4ZZ0000000QmFkMAK,Closed_vod,,EM_Event_Speaker_vod,,,,,,,BMS Services Simplified Event Speaker Layout,012Z00000005CXUIA2,Simplified_Event_Speaker_HCPTS,2017-01-04T11:31:05.000Z,,,
a4bZ0000000brs8IAA,a4YZ0000000FTlKMAW,a4ZZ0000000QmFkMAK,Pre-Event,BMS_Simple_PreEvent,,,Organizer_vod,BMS Expense Estimate Layout,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2017-02-02T11:31:09.000Z,,,;Edit;Generate_Sign_In_vod;Generate_Invitations_vod;Reschedule_vod;Cancel_Event_vod;View_Signatures_vod;Attendee_Reconciliation_vod;Submit_for_SFDC_Approval;
a4bZ0000000brs9IAA,a4YZ0000000FTlKMAW,a4ZZ0000000QmFkMAK,Pre-Event,BMS_Simple_PreEvent,,,Service Coordinator,BMS Expense Estimate Layout,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2017-01-30T15:59:53.000Z,,,;Edit;Delete;Reschedule_vod;Submit_for_Approval_vod;Cancel_Event_vod;PostEvent;View_Signatures_vod;Attendee_Reconciliation_vod;
a4bZ0000000brsAIAQ,a4YZ0000000FTlKMAW,a4ZZ0000000QmFkMAK,Pending_Approval_vod,BMS_Simple_Pending_Approval,,,Organizer_vod,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2017-02-02T11:31:09.000Z,,,;Recall_Approval_Request_vod;
a4bZ0000000brsBIAQ,a4YZ0000000FTlKMAW,a4ZZ0000000QmFkMAK,Pending_Approval_vod,BMS_Simple_Read_Only,,,Service Coordinator,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2017-01-28T11:31:18.000Z,,,
a4bZ0000000brsCIAQ,a4YZ0000000FTlKMAW,a4ZZ0000000QmFkMAK,Pending_Approval_vod,BMS_Simple_Read_Only,,,Approver_vod,BMS Expense Estimate Read Only,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2017-02-02T11:31:09.000Z,,,;Approve_SFDC;Reject_SFDC;
a4bZ0000000brsNIAQ,a4YZ0000000FTlKMAW,a4ZZ0000000QmFkMAK,Approved_vod,BMS_Simple_Approved,,,Organizer_vod,BMS Expense Estimate Layout,BMS Event Speaker Expense Header Layout,BMS Expense Line Layout,,,012Z00000000oM7IAI,,2017-01-28T11:31:18.000Z,,,;Replan_BMS;Reschedule_vod;Cancel_Event_vod;PostEvent;View_Signatures_vod;Generate_Invitations_vod;Generate_Sign_In_vod;Manage_Attendees_vod;
a4bZ0000000brsSIAQ,,a4ZZ0000000QmFkMAK,,,EM_Event_Team_Member_vod,,,,,,,Event Team Member Layout,012Z00000005CXUIA2,Event_Team_Member_vod,2017-02-02T11:31:09.000Z,,,;Delete;
a4bZ0000000brsXIAQ,,a4ZZ0000000QmFkMAK,,,EM_Event_Team_Member_vod,,,,,,,Group Layout,012Z00000005CXUIA2,Group_vod,2017-01-28T11:31:18.000Z,,,;Delete;
a4bZ0000000brscIAA,,a4ZZ0000000QmFkMAK,Pre-Event,,EM_Event_Speaker_vod,,Support,,,,,BMS Services Simplified Event Speaker Layout,012Z00000005CXUIA2,Simplified_Event_Speaker_HCPTS,2017-01-28T11:31:18.000Z,,,
