ID,RECORDTYPE.NAME,EVENT_LAYOUT_VOD__C,EVENT_STATUS_VOD__C,EVENT_TEAM_ROLE_VOD__C,EVENT_OBJECT_NAME_VOD__C,PAGE_LAYOUT_VOD__C,RECORD_TYPE_VOD__C,EXTERNAL_ID__C,USER_PROFILE_ID_VOD__C,USER_PROFILE_VOD__C,VISIBLE_BUTTONS_VOD__C
a4d5E0000008dHvQAI,Related_Object_Layout_vod,,Approved_vod,Read Only,EM_Attendee_vod,BMS_HCPTS_Simple_Attendee_Layout,Simple_Attendee_HCPTS,EPL -00000007299,,,
a4d5E0000008dKaQAI,Related_Object_Layout_vod,,Approved_vod,,EM_Attendee_vod,BMS_HCPTS_Simple_Attendee_Layout,Simple_Attendee_HCPTS,EPL -00000007699,,,;Edit;Delete;
a4d5E0000008dKzQAI,Related_Object_Layout_vod,,Closed_vod,,EM_Attendee_vod,BMS_HCPTS_Simple_Attendee_Layout,,EPL -00000007766,,,
a4d5E0000008dL9QAI,Related_Object_Layout_vod,,Pending_Approval_vod,,EM_Attendee_vod,BMS_HCPTS_Simple_Attendee_Layout,,EPL -00000007800,,,
a4d5E0000008dIFQAY,Related_Object_Layout_vod,,Post-Event-PostApproval,,EM_Attendee_vod,BMS_HCPTS_Simple_Attendee_Layout,Simple_Attendee_HCPTS,372,,,;Edit;Delete;
a4d5E0000008dJNQAY,Related_Object_Layout_vod,,Post-Event-PostApproval,,EM_Attendee_vod,BMS_HCPTS_Simple_Attendee_Layout,,EPL -00000007500,,,
a4d5E0000008dHMQAY,Related_Object_Layout_vod,,Post-Event-PostApproval,Read Only,EM_Attendee_vod,BMS_HCPTS_Simple_Attendee_Layout,Simple_Attendee_HCPTS,376,,,
a4d5E0000008dJOQAY,Related_Object_Layout_vod,,,Read Only,EM_Attendee_vod,BMS_HCPTS_Simple_Attendee_Layout,,EPL -0000000269,,,
a4d5E0000008dKBQAY,Related_Object_Layout_vod,,Approved_vod,,EM_Event_Budget_vod,Simple WBSCC Budget Layout,WBS_CC_Simple_HCPTS,EPL -0000000362,,,
a4d5E0000008dKkQAI,Related_Object_Layout_vod,,Closed_vod,,EM_Event_Budget_vod,Simple WBSCC Budget Layout,WBS_CC_Simple_HCPTS,EPL -0000000270,,,
a4d5E0000008dHZQAY,Related_Object_Layout_vod,,Pending_Approval_vod,,EM_Event_Budget_vod,Simple WBSCC Budget Layout,WBS_CC_Simple_HCPTS,EPL -0000000296,,,
a4d5E0000008dHgQAI,Related_Object_Layout_vod,,Post-Event,Read Only,EM_Event_Budget_vod,Simple WBSCC Budget Layout,WBS_CC_Simple_HCPTS,EPL -00000002967,,,
a4d5E0000008dHXQAY,Related_Object_Layout_vod,,Post-Event-PostApproval,,EM_Event_Budget_vod,Simple WBSCC Budget Layout,WBS_CC_Simple_HCPTS,EPL -0000011362,,,
a4d5E0000008dIPQAY,Related_Object_Layout_vod,,Pre-Event,Read Only,EM_Event_Budget_vod,Simple WBSCC Budget Layout,WBS_CC_Simple_HCPTS,EPL -00000002966,,,
a4d5E0000008dLJQAY,Related_Object_Layout_vod,,,,EM_Event_Budget_vod,Simple WBSCC Budget Layout,WBS_CC_Simple_HCPTS,EPL -0000000999,,,;Delete;
a4d5E0000008dKfQAI,Related_Object_Layout_vod,,Closed_vod,,EM_Event_Material_vod,Simple Material,,EPL -0000000273,,,
a4d5E0000008dIyQAI,Related_Object_Layout_vod,,Pending_Approval_vod,,EM_Event_Material_vod,Simple Material,,EPL -00000003001,,,
a4d5E0000008dJnQAI,Related_Object_Layout_vod,,,Read Only,EM_Event_Material_vod,Simple Material,,EPL -0000000281,,,
a4d5E0000008dHRQAY,Related_Object_Layout_vod,,,,EM_Event_Material_vod,Simple Material,Simple_Material_HCPTS,EPL -00000007211,,,Delete;Edit
a4d5E0000008dJeQAI,Related_Object_Layout_vod,,Closed_vod,,EM_Event_Speaker_vod,BMS Services Simplified Event Speaker Layout,,EPL -0000000271,,,
a4d5E0000008dJJQAY,Related_Object_Layout_vod,,Pending_Approval_vod,,EM_Event_Speaker_vod,BMS Services Simplified Event Speaker Layout,,EPL -0000000297,,,
a4d5E0000008dJ8QAI,Related_Object_Layout_vod,,,Read Only,EM_Event_Speaker_vod,BMS Services Simplified Event Speaker Layout,,EPL -0000000279,,,
a4d5E0000008dI0QAI,Related_Object_Layout_vod,,Approved_vod,Read Only,EM_Event_Team_Member_vod,Simple Activity Team Member Layout,Activity_Team_Member_Simple_HCPTS,EPL -00000102779,,,
a4d5E0000008dLEQAY,Related_Object_Layout_vod,,Closed_vod,,EM_Event_Team_Member_vod,Simple Activity Team Member Layout,Activity_Team_Member_Simple_HCPTS,EPL -0000000272,,,
a4d5E0000008dL4QAI,Related_Object_Layout_vod,,Pending_Approval_vod,,EM_Event_Team_Member_vod,Simple Activity Team Member Layout,Activity_Team_Member_Simple_HCPTS,EPL -0000000299,,,
a4d5E0000008dHCQAY,Related_Object_Layout_vod,,Post-Event,Read Only,EM_Event_Team_Member_vod,Simple Activity Team Member Layout,Activity_Team_Member_Simple_HCPTS,EPL -00000002779,,,
a4d5E0000008dH8QAI,Related_Object_Layout_vod,,Post-Event-PostApproval,Read Only,EM_Event_Team_Member_vod,Simple Activity Team Member Layout,Activity_Team_Member_Simple_HCPTS,EPL -002343102779,,,
a4d5E0000008dH7QAI,Related_Object_Layout_vod,,Pre-Event,Read Only,EM_Event_Team_Member_vod,Simple Activity Team Member Layout,Activity_Team_Member_Simple_HCPTS,EPL -00000002778,,,
a4d5E0000008dJmQAI,Related_Object_Layout_vod,,,,EM_Event_Team_Member_vod,Simple Activity Team Member Layout,Activity_Team_Member_Simple_HCPTS,8EPL -00000002779,,,;Delete;
a4d5E0000008dJcQAI,Related_Object_Layout_vod,,Approved_vod,,EM_Expense_Estimate_vod,BMS Expense Estimate Simple Read Only,,EPL -0000001362,,,
a4d5E0000008dIGQAY,Related_Object_Layout_vod,,Closed_vod,,EM_Expense_Estimate_vod,BMS Expense Estimate Simple Read Only,,EPL -00000009883,,,
a4d5E0000008dKLQAY,Related_Object_Layout_vod,,Pending_Approval_vod,,EM_Expense_Estimate_vod,BMS Expense Estimate Simple Read Only,,EPL -00009909883,,,
a4d5E0000008dJXQAY,Related_Object_Layout_vod,,Post-Event,Read Only,EM_Expense_Estimate_vod,BMS Expense Estimate Simple Read Only,,EPL -00000129993,,,
a4d5E0000008dHhQAI,Related_Object_Layout_vod,,Post-Event-PostApproval,,EM_Expense_Estimate_vod,BMS Expense Estimate Simple Read Only,,EPL -0000121362,,,
a4d5E0000008dK2QAI,Related_Object_Layout_vod,,Pre-Event,Read Only,EM_Expense_Estimate_vod,BMS Expense Estimate Simple Read Only,,EPL -00009989883,,,
a4d5E0000008dK6QAI,Related_Object_Layout_vod,,,Read Only,EM_Expense_Estimate_vod,BMS Expense Estimate Simple Read Only,,EPL -00000009993,,,
a4d5E0000008dIAQAY,Related_Object_Layout_vod,,Approved_vod,,Expense_Header_vod,BMS Event Speaker Expense Header Layout,,EPL -0000002362,,,;Edit;Delete;
a4d5E0000008dJYQAY,Related_Object_Layout_vod,,Approved_vod,Read Only,Expense_Header_vod,BMS Simple Expense Header ReadOnly Layout,,EPL -0000012362,,,
a4d5E0000008dIKQAY,Related_Object_Layout_vod,,Closed_vod,,Expense_Header_vod,BMS Simple Expense Header ReadOnly Layout,,EPL -00000009881,,,
a4d5E0000008dKGQAY,Related_Object_Layout_vod,,Pending_Approval_vod,,Expense_Header_vod,BMS Simple Expense Header ReadOnly Layout,,EPL -00000009991,,,
a4d5E0000008dJSQAY,Related_Object_Layout_vod,,Post-Event,Read Only,Expense_Header_vod,BMS Simple Expense Header ReadOnly Layout,,EPL -00000129881,,,
a4d5E0000008dHWQAY,Related_Object_Layout_vod,,Post-Event-PostApproval,Read Only,Expense_Header_vod,BMS Simple Expense Header ReadOnly Layout,,EPL -0002212362,,,
a4d5E0000008dJrQAI,Related_Object_Layout_vod,,Post-Event-PostApproval,,Expense_Header_vod,BMS Event Speaker Expense Header Layout,,EPL -00013212362,,,;Edit;Delete;
a4d5E0000008dHlQAI,Related_Object_Layout_vod,,Pre-Event,Read Only,Expense_Header_vod,BMS Simple Expense Header ReadOnly Layout,,EPL -00000008891,,,
a4d5E0000008dIQQAY,Related_Object_Layout_vod,,Approved_vod,Read Only,Expense_Line_vod,BMS Simple Expense Line Readonly Layout,Event_Expense_Line_vod,EPL -0000022362,,,
a4d5E0000008dHbQAI,Related_Object_Layout_vod,,Closed_vod,,Expense_Line_vod,BMS Simple Expense Line Readonly Layout,,EPL -00000008892,,,
a4d5E0000008dK1QAI,Related_Object_Layout_vod,,Pending_Approval_vod,,Expense_Line_vod,BMS Simple Expense Line Readonly Layout,,EPL -000000099921,,,
a4d5E0000008dH2QAI,Related_Object_Layout_vod,,Post-Event,Read Only,Expense_Line_vod,BMS Simple Expense Line Readonly Layout,,EPL -00000019992,,,
a4d5E0000008dJhQAI,Related_Object_Layout_vod,,Post-Event-PostApproval,Read Only,Expense_Line_vod,BMS Simple Expense Line Readonly Layout,,EPL -03322362,,,
a4d5E0000008dKQQAY,Related_Object_Layout_vod,,Pre-Event,Read Only,Expense_Line_vod,BMS Simple Expense Line Readonly Layout,Event_Expense_Line_vod,EPL -000000889921,,,
a4d5E0000008dHYQAY,Related_Object_Layout_vod,,,Read Only,Expense_Line_vod,BMS Simple Expense Line Readonly Layout,Event_Expense_Line_vod,EPL -00000009992,,,
a4d5E0000008dItQAI,Event_Layout_vod,BMS_Simple_ApprovedPostEvent,Approved_vod,,,,,EPL -0000000304,,,;Replan_BMS;PostEventPostApproval;Attendee_Reconciliation_vod;Manage_Attendees_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;
a4d5E0000008dHqQAI,Event_Layout_vod,BMS_Simple_Read_Only,Approved_vod,Read Only,,,,EPL -0000001304,,,
a4d5E0000008dIUQAY,Event_Layout_vod,BMS_Simple_Read_Only,Canceled_vod,,,,,EPL -000000030922,,,
a4d5E0000008dJ4QAI,Event_Layout_vod,BMS_Simple_Read_Only,Closed_vod,,,,,EPL -0000000266,00ed00000019hV7AAI,System Administrator,;Unlock_vod;
a4d5E0000008dKVQAY,Event_Layout_vod,BMS_Simple_Read_Only,Closed_vod,Service Coordinator,,,,EPL -0000000265,,,;Unlock_vod;
a4d5E0000008dJdQAI,Event_Layout_vod,BMS_Simple_Read_Only,Closed_vod,,,,,EPL -0000000264,,,
a4d5E0000008dJIQAY,Event_Layout_vod,BMS_Simple_Read_Only,Pending_Approval_vod,,,,,EPL -0000000287,,,
a4d5E0000008dIZQAY,Event_Layout_vod,BMS_Simple_PrePostEvent,Pending_Approval_vod,,,,,EPL -0000000291,00ed00000019hV7AAI,System Administrator,;Recall_Approval_Request_vod;
a4d5E0000008dLOQAY,Event_Layout_vod,BMS_Simple_Read_Only,Pending_Approval_vod,Service Coordinator,,,,EPL -0000000310,,,;Recall_Approval_Request_vod;
a4d5E0000008dLTQAY,Event_Layout_vod,BMS_Simple_Read_Only,Pending_Approval_vod,Approver_vod,,,,EPL -0000000312,,,;Approve_vod;Reject_vod;
a4d5E0000008dJDQAY,Event_Layout_vod,BMS_Simple_Read_Only,Pending_Approval_vod,Organizer_vod,,,,EPL -0000000309,,,;Recall_Approval_Request_vod;
a4d5E0000008dJ3QAI,Event_Layout_vod,BMS_Simple_Read_Only,Post-Event,Read Only,,,,EPL -0000000258,,,
a4d5E0000008dIoQAI,Event_Layout_vod,BMS_Simple_PrePostEvent,Post-Event,,,,,EPL -0000000261,,,;Edit;Close_vod;Attendee_Reconciliation_vod;Manage_Attendees_vod;Reschedule_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;Submit_for_Approval_vod;
a4d5E0000008dKuQAI,Event_Layout_vod,BMS_Simple_ApprovedPostEvent,Post-Event-PostApproval,,,,,EPL -00000003044,,,;Replan_BMS;Close_vod;Attendee_Reconciliation_vod;Manage_Attendees_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;
a4d5E0000008dJwQAI,Event_Layout_vod,BMS_Simple_Read_Only,Post-Event-PostApproval,Read Only,,,,EPL -0000011304,,,
a4d5E0000008dKpQAI,Event_Layout_vod,BMS_Simple_PrePostEvent,Pre-Event,,,,,EPL -0000000255,,,;Edit;PostEvent;Attendee_Reconciliation_vod;Manage_Attendees_vod;Reschedule_vod;Cancel_Event_vod;Generate_Sign_In_vod;Generate_Invitations_vod;View_Signatures_vod;Submit_for_Approval_vod;
a4d5E0000008dIjQAI,Event_Layout_vod,BMS_Simple_Read_Only,Pre-Event,Read Only,,,,EPL -0000000249,,,
a4d5E0000008dHHQAY,Event_Layout_vod,BMS_Simple_Read_Only,Pre-Event,Approver_vod,,,,EPL -0000033249,,,
